lon,lat
-124.3758270,47.6156020
-124.3744470,47.6128640
-124.3739390,47.6118160
-124.3733610,47.6106520
-124.3731240,47.6101910
-124.3730090,47.6099430
-124.3729600,47.6098280
-124.3726800,47.6092740
-124.3725100,47.6089370
-124.3723330,47.6085830
-124.3723150,47.6085470
-124.3714870,47.6068780
-124.3712290,47.6063260
-124.3711380,47.6060850
-124.3710790,47.6058040
-124.3710040,47.6055640
-124.3709560,47.6054080
-124.3709090,47.6052290
-124.3708650,47.6050700
-124.3707770,47.6047770
-124.3707110,47.6045960
-124.3704320,47.6036770
-124.3702920,47.6031760
-124.3700430,47.6023510
-124.3698790,47.6018050
-124.3695110,47.6005870
-124.3689600,47.5988780
-124.3670650,47.5926210
-124.3667810,47.5916720
-124.3666300,47.5911830
-124.3665410,47.5908900
-124.3646700,47.5846210
-124.3636140,47.5805860
-124.3630970,47.5787660
-124.3627990,47.5776910
-124.3626700,47.5771870
-124.3614940,47.5728040
-124.3607220,47.5698910
-124.3604560,47.5689350
-124.3603200,47.5685060
-124.3599580,47.5669370
-124.3596660,47.5659070
-124.3592500,47.5641960
-124.3591100,47.5636830
-124.3590710,47.5635420
-124.3588630,47.5627210
-124.3587680,47.5624010
-124.3584980,47.5614950
-124.3583100,47.5608010
-124.3582180,47.5604640
-124.3577920,47.5588900
-124.3574350,47.5575600
-124.3570810,47.5562800
-124.3569620,47.5558290
-124.3568160,47.5552150
-124.3566710,47.5546700
-124.3566070,47.5544040
-124.3565070,47.5541430
-124.3563040,47.5537860
-124.3560330,47.5534500
-124.3556990,47.5531420
-124.3553090,47.5528650
-124.3548680,47.5526260
-124.3543960,47.5524050
-124.3525170,47.5515440
-124.3515610,47.5511060
-124.3505780,47.5506370
-124.3502850,47.5504980
-124.3461650,47.5485700
-124.3426600,47.5469630
-124.3422180,47.5467430
-124.3408140,47.5460860
-124.3405530,47.5459520
-124.3401740,47.5457400
-124.3398650,47.5455690
-124.3395210,47.5453490
-124.3393150,47.5451980
-124.3388610,47.5448800
-124.3386200,47.5446540
-124.3384310,47.5444450
-124.3380540,47.5440340
-124.3377710,47.5436570
-124.3365770,47.5422960
-124.3344080,47.5396360
-124.3341760,47.5393760
-124.3339270,47.5390510
-124.3336530,47.5386050
-124.3334980,47.5383500
-124.3333720,47.5379520
-124.3333180,47.5377950
-124.3332520,47.5375580
-124.3332180,47.5373990
-124.3331580,47.5369560
-124.3331450,47.5367770
-124.3331410,47.5365960
-124.3331460,47.5364160
-124.3331600,47.5362360
-124.3331840,47.5360490
-124.3332160,47.5358780
-124.3332780,47.5356300
-124.3333530,47.5354030
-124.3334130,47.5352530
-124.3335030,47.5350590
-124.3335880,47.5348930
-124.3336610,47.5347510
-124.3340160,47.5341370
-124.3343780,47.5335420
-124.3352010,47.5322410
-124.3356020,47.5314810
-124.3364170,47.5301370
-124.3371750,47.5288490
-124.3373930,47.5283330
-124.3375300,47.5279330
-124.3375990,47.5274290
-124.3375780,47.5269280
-124.3374440,47.5264090
-124.3371490,47.5257040
-124.3365440,47.5244630
-124.3364730,47.5243150
-124.3360660,47.5234540
-124.3353630,47.5218360
-124.3346230,47.5203970
-124.3342680,47.5198830
-124.3340170,47.5196120
-124.3337480,47.5193500
-124.3330160,47.5188910
-124.3324920,47.5186250
-124.3324330,47.5185990
-124.3322810,47.5185320
-124.3312770,47.5181860
-124.3297570,47.5177420
-124.3294800,47.5176640
-124.3286450,47.5174270
-124.3273190,47.5170440
-124.3269770,47.5169400
-124.3258890,47.5166110
-124.3246560,47.5162650
-124.3240160,47.5161240
-124.3234520,47.5160480
-124.3227790,47.5160020
-124.3224590,47.5159920
-124.3221110,47.5160240
-124.3214670,47.5160990
-124.3207580,47.5162310
-124.3201010,47.5164150
-124.3194400,47.5166670
-124.3188540,47.5169840
-124.3158690,47.5188340
-124.3149480,47.5194010
-124.3126480,47.5208760
-124.3089780,47.5231950
-124.3071010,47.5243390
-124.3067330,47.5245710
-124.3050930,47.5256030
-124.3043070,47.5261330
