lon,lat
-122.8072840,45.5625910
-122.8072670,45.5625520
-122.8071130,45.5622120
-122.8069900,45.5620040
-122.8069690,45.5619350
-122.8069600,45.5618460
-122.8069390,45.5617730
-122.8068930,45.5616990
-122.8068290,45.5616400
-122.8067340,45.5615870
-122.8066390,45.5615470
-122.8065250,45.5615220
-122.8064230,45.5615140
-122.8059300,45.5615180
-122.8059300,45.5609070
-122.8059350,45.5594840
-122.8059420,45.5594350
-122.8059580,45.5594050
-122.8059930,45.5593740
-122.8060380,45.5593500
-122.8060870,45.5593350
-122.8061890,45.5593310
-122.8067710,45.5593460
-122.8067850,45.5592510
-122.8069750,45.5588730
-122.8070000,45.5587890
-122.8070870,45.5585290
-122.8071100,45.5584760
-122.8071550,45.5584070
-122.8072080,45.5583510
-122.8073540,45.5582330
-122.8074090,45.5581690
-122.8074490,45.5581090
-122.8074760,45.5580480
-122.8075080,45.5579180
-122.8075120,45.5578100
-122.8075170,45.5577190
-122.8075340,45.5576500
-122.8075590,45.5575910
-122.8079100,45.5570870
-122.8079290,45.5570270
-122.8079750,45.5569560
-122.8081810,45.5566680
-122.8082000,45.5566020
-122.8082000,45.5565260
-122.8081850,45.5564170
-122.8081580,45.5563550
-122.8081340,45.5562760
-122.8081290,45.5561730
-122.8081170,45.5561210
-122.8080900,45.5560260
-122.8080750,45.5559650
-122.8080560,45.5558820
-122.8080890,45.5556980
-122.8079830,45.5556860
-122.8078540,45.5556650
-122.8077320,45.5556430
-122.8076160,45.5556160
-122.8074890,45.5555850
-122.8073440,45.5555430
-122.8071880,45.5554930
-122.8069510,45.5553950
-122.8067850,45.5553080
-122.8066540,45.5552260
-122.8062970,45.5549450
-122.8061250,45.5548210
-122.8060670,45.5547910
-122.8059460,45.5547480
-122.8057800,45.5547150
-122.8055680,45.5547100
-122.8048600,45.5547710
-122.8047590,45.5547790
-122.8046410,45.5547900
-122.8043160,45.5548180
-122.8041800,45.5548270
-122.8040400,45.5548250
-122.8039010,45.5548070
-122.8037580,45.5547740
-122.8035950,45.5547180
-122.8035030,45.5546840
-122.8033620,45.5546260
-122.8032700,45.5545890
-122.8032270,45.5545710
-122.8031470,45.5545380
-122.8028180,45.5544030
-122.8026090,45.5543200
-122.8024990,45.5542850
-122.8023820,45.5542520
-122.8023160,45.5542370
-122.8022480,45.5542250
-122.8021760,45.5542150
-122.8021450,45.5542100
-122.8020420,45.5541990
