lat,lon
46.28419,-124.05788
46.28415,-124.05782
46.28403,-124.05773
46.28395,-124.05770
46.28386,-124.05771
46.28371,-124.05784
46.28378,-124.05815
46.28359,-124.05818
46.28312,-124.05826
46.28280,-124.05831
46.28272,-124.05800
46.28269,-124.05781
46.28270,-124.05757
46.28276,-124.05729
46.28283,-124.05710
46.28287,-124.05702
46.28289,-124.05669
46.28290,-124.05663
46.28293,-124.05655
46.28321,-124.05595
46.28326,-124.05584
46.28330,-124.05577
46.28337,-124.05567
46.28358,-124.05541
46.28390,-124.05464
46.28441,-124.05472
46.28455,-124.05477
46.28472,-124.05487
46.28487,-124.05510
46.28513,-124.05566
46.28523,-124.05588
46.28530,-124.05598
46.28535,-124.05603
46.28542,-124.05608
46.28545,-124.05610
46.28551,-124.05612
46.28556,-124.05613
46.28561,-124.05614
46.28573,-124.05611
46.28618,-124.05598
46.28651,-124.05597
46.28690,-124.05592
46.28758,-124.05553
46.28800,-124.05538
46.28810,-124.05539
46.28826,-124.05544
46.28841,-124.05553
46.28901,-124.05599
46.28911,-124.05604
46.28923,-124.05609
46.28938,-124.05613
46.28994,-124.05630
46.29004,-124.05626
46.29010,-124.05623
46.29015,-124.05620
46.29021,-124.05614
46.29028,-124.05605
46.29040,-124.05584
46.29076,-124.05523
46.29089,-124.05506
46.29098,-124.05500
46.29107,-124.05496
46.29117,-124.05492
46.29125,-124.05491
46.29133,-124.05490
46.29152,-124.05491
46.29189,-124.05493
46.29209,-124.05492
46.29219,-124.05491
46.29229,-124.05487
46.29246,-124.05481
46.29268,-124.05468
46.29292,-124.05452
46.29328,-124.05429
46.29355,-124.05412
46.29369,-124.05402
46.29385,-124.05392
46.29394,-124.05382
46.29404,-124.05372
46.29418,-124.05356
46.29463,-124.05300
46.29493,-124.05263
46.29519,-124.05230
46.29533,-124.05213
46.29546,-124.05196
46.29559,-124.05180
46.29570,-124.05168
46.29580,-124.05159
46.29590,-124.05151
46.29599,-124.05148
46.29609,-124.05147
46.29621,-124.05149
46.29631,-124.05154
46.29636,-124.05158
46.29641,-124.05163
46.29650,-124.05176
46.29656,-124.05192
46.29664,-124.05220
46.29673,-124.05249
46.29678,-124.05263
46.29683,-124.05269
46.29690,-124.05273
46.29695,-124.05275
46.29703,-124.05277
46.29714,-124.05275
46.29727,-124.05272
46.29756,-124.05261
46.29813,-124.05230
46.29862,-124.05198
46.29877,-124.05188
46.29883,-124.05185
46.29887,-124.05183
46.29891,-124.05183
46.29898,-124.05183
46.29906,-124.05186
46.29918,-124.05190
46.29927,-124.05194
46.29956,-124.05204
46.29959,-124.05205
46.29962,-124.05205
46.29968,-124.05203
46.29973,-124.05198
46.29977,-124.05190
46.29979,-124.05182
46.29979,-124.05174
46.29978,-124.05168
46.29977,-124.05162
46.29968,-124.05142
46.29963,-124.05127
46.29961,-124.05121
46.29961,-124.05115
46.29961,-124.05108
46.29962,-124.05101
