lat,lon
39.49302,-123.79138
39.49290,-123.79141
39.49276,-123.79139
39.49261,-123.79136
39.49247,-123.79134
39.49235,-123.79145
39.49229,-123.79154
39.49224,-123.79168
39.49219,-123.79182
39.49210,-123.79192
39.49189,-123.79203
39.49184,-123.79184
39.49174,-123.79170
39.49169,-123.79149
39.49163,-123.79130
39.49154,-123.79134
39.49143,-123.79137
39.49133,-123.79137
39.49128,-123.79140
39.49119,-123.79124
39.49111,-123.79117
39.49104,-123.79113
39.49095,-123.79112
39.49080,-123.79112
39.49068,-123.79114
39.49061,-123.79112
39.49045,-123.78987
39.49040,-123.78919
39.49040,-123.78874
39.49048,-123.78798
39.49050,-123.78756
39.49050,-123.78724
39.49047,-123.78695
39.49038,-123.78669
39.49029,-123.78645
39.49009,-123.78606
39.49000,-123.78588
39.49021,-123.78565
39.49040,-123.78544
39.49060,-123.78518
39.49080,-123.78493
39.49100,-123.78463
39.49176,-123.78347
39.49197,-123.78315
39.49232,-123.78271
39.49307,-123.78166
39.49331,-123.78138
39.49342,-123.78128
39.49364,-123.78115
39.49380,-123.78109
39.49418,-123.78099
39.49490,-123.78089
39.49511,-123.78084
39.49528,-123.78079
39.49558,-123.78068
39.49607,-123.78051
39.49635,-123.78041
39.49682,-123.78019
39.49727,-123.77996
39.49753,-123.77978
39.49781,-123.77953
39.49816,-123.77921
39.49836,-123.77902
39.49851,-123.77881
39.49856,-123.77866
39.49858,-123.77848
39.49853,-123.77610
39.49851,-123.77550
39.49852,-123.77532
39.49854,-123.77511
39.49862,-123.77483
39.49872,-123.77462
39.49879,-123.77451
39.49882,-123.77447
39.49893,-123.77433
39.49903,-123.77424
39.49917,-123.77414
39.49926,-123.77409
39.49942,-123.77404
39.49962,-123.77401
39.49992,-123.77402
39.49993,-123.77402
39.50009,-123.77403
39.50026,-123.77401
39.50035,-123.77397
39.50087,-123.77355
39.50154,-123.77301
39.50165,-123.77291
39.50186,-123.77271
39.50203,-123.77251
39.50233,-123.77205
39.50247,-123.77188
39.50278,-123.77155
39.50328,-123.77106
39.50339,-123.77095
39.50358,-123.77067
39.50396,-123.77004
39.50506,-123.76828
39.50537,-123.76783
39.50560,-123.76756
39.50571,-123.76745
39.50639,-123.76673
39.50703,-123.76612
39.50723,-123.76595
39.50746,-123.76585
39.50787,-123.76574
39.50832,-123.76560
39.50855,-123.76549
39.50876,-123.76535
39.50890,-123.76524
39.50914,-123.76497
39.50924,-123.76486
39.50929,-123.76482
39.50939,-123.76476
39.50950,-123.76472
39.50967,-123.76469
39.51073,-123.76465
39.51105,-123.76462
39.51129,-123.76458
39.51162,-123.76451
39.51249,-123.76424
39.51344,-123.76391
39.51434,-123.76362
39.51519,-123.76338
39.51601,-123.76310
39.51614,-123.76306
39.51647,-123.76297
39.51664,-123.76293
39.51667,-123.76292
39.51722,-123.76274
39.51887,-123.76222
39.51932,-123.76209
39.52075,-123.76167
39.52118,-123.76154
39.52194,-123.76132
39.52253,-123.76105
39.52267,-123.76100
39.52279,-123.76099
39.52297,-123.76099
39.52356,-123.76105
39.52387,-123.76103
39.52426,-123.76095
39.52469,-123.76081
39.52490,-123.76074
39.52516,-123.76064
39.52573,-123.76039
39.52622,-123.76018
39.52683,-123.75992
39.52718,-123.75973
39.52720,-123.75971
39.52738,-123.75955
39.52757,-123.75941
39.52787,-123.75922
39.52797,-123.75917
39.52817,-123.75912
39.52828,-123.75911
39.52846,-123.75910
39.52917,-123.75922
39.52938,-123.75920
39.52945,-123.75920
39.53066,-123.75908
39.53215,-123.75894
39.53234,-123.75892
39.53245,-123.75890
39.53256,-123.75884
39.53270,-123.75871
39.53290,-123.75844
39.53308,-123.75815
39.53340,-123.75769
39.53362,-123.75733
39.53389,-123.75692
39.53405,-123.75673
39.53425,-123.75655
39.53438,-123.75647
39.53449,-123.75642
39.53508,-123.75625
39.53532,-123.75620
39.53630,-123.75604
39.53717,-123.75590
39.53752,-123.75586
39.53811,-123.75583
39.53848,-123.75584
39.53892,-123.75590
39.53932,-123.75598
39.53996,-123.75615
39.54048,-123.75631
39.54056,-123.75635
39.54129,-123.75671
39.54183,-123.75704
39.54237,-123.75743
39.54286,-123.75788
39.54328,-123.75829
39.54366,-123.75870
39.54384,-123.75893
39.54413,-123.75934
39.54433,-123.75956
39.54462,-123.75992
39.54480,-123.76016
39.54495,-123.76033
39.54512,-123.76054
39.54572,-123.76129
39.54577,-123.76135
39.54633,-123.76189
39.54686,-123.76219
39.54745,-123.76235
39.54807,-123.76241
39.54856,-123.76244
39.54879,-123.76246
39.54918,-123.76250
39.54941,-123.76251
39.54973,-123.76252
39.55032,-123.76262
39.55057,-123.76268
39.55081,-123.76274
39.55130,-123.76290
39.55174,-123.76301
39.55239,-123.76321
39.55254,-123.76327
39.55272,-123.76331
39.55306,-123.76334
39.55320,-123.76333
39.55344,-123.76333
39.55422,-123.76332
39.55557,-123.76333
39.55665,-123.76330
39.55689,-123.76328
39.55710,-123.76330
39.55721,-123.76334
39.55729,-123.76340
39.55736,-123.76347
39.55747,-123.76363
39.55754,-123.76378
39.55760,-123.76396
39.55761,-123.76403
39.55762,-123.76418
39.55758,-123.76461
39.55759,-123.76481
39.55764,-123.76534
39.55768,-123.76554
39.55772,-123.76565
39.55776,-123.76569
39.55779,-123.76572
39.55791,-123.76574
39.55801,-123.76572
39.55832,-123.76559
39.55909,-123.76528
39.55912,-123.76527
39.55947,-123.76519
39.55979,-123.76512
39.55989,-123.76512
39.55992,-123.76513
39.56003,-123.76515
39.56070,-123.76548
39.56094,-123.76560
39.56138,-123.76581
39.56162,-123.76591
39.56170,-123.76594
39.56195,-123.76601
39.56242,-123.76610
39.56365,-123.76626
39.56385,-123.76631
39.56435,-123.76649
39.56450,-123.76654
39.56471,-123.76657
39.56482,-123.76656
39.56493,-123.76652
39.56510,-123.76641
39.56569,-123.76584
39.56586,-123.76570
39.56600,-123.76561
39.56611,-123.76557
39.56630,-123.76554
39.56652,-123.76557
39.56675,-123.76560
39.56691,-123.76560
39.56708,-123.76557
39.56715,-123.76557
39.56726,-123.76558
39.56733,-123.76561
39.56737,-123.76566
39.56741,-123.76572
39.56743,-123.76580
39.56744,-123.76590
39.56742,-123.76600
39.56734,-123.76614
39.56726,-123.76626
39.56715,-123.76636
39.56705,-123.76644
39.56694,-123.76650
39.56682,-123.76653
39.56667,-123.76658
39.56660,-123.76663
39.56654,-123.76668
39.56649,-123.76674
39.56645,-123.76681
39.56642,-123.76688
39.56639,-123.76696
39.56637,-123.76705
39.56630,-123.76741
39.56623,-123.76780
39.56620,-123.76795
39.56620,-123.76811
39.56620,-123.76825
39.56622,-123.76837
39.56625,-123.76848
39.56628,-123.76861
39.56632,-123.76874
39.56637,-123.76884
39.56646,-123.76899
39.56662,-123.76921
39.56682,-123.76942
39.56699,-123.76959
39.56718,-123.76975
39.56741,-123.76990
39.56764,-123.77003
39.56910,-123.77088
39.57011,-123.77147
39.57051,-123.77167
39.57093,-123.77178
39.57184,-123.77192
39.57395,-123.77230
39.57487,-123.77247
39.57543,-123.77259
39.57563,-123.77261
39.57703,-123.77288
39.57753,-123.77298
39.57769,-123.77300
39.57784,-123.77301
39.57796,-123.77301
39.57811,-123.77297
39.57823,-123.77290
39.57904,-123.77223
39.57917,-123.77215
39.57926,-123.77211
39.57934,-123.77209
39.57950,-123.77206
39.57967,-123.77204
39.58017,-123.77201
39.58241,-123.77197
39.58352,-123.77199
39.58453,-123.77203
39.58476,-123.77204
39.58496,-123.77206
39.58507,-123.77207
39.58522,-123.77213
39.58536,-123.77220
39.58553,-123.77233
39.58631,-123.77301
39.58641,-123.77314
39.58731,-123.77449
39.58769,-123.77508
39.58816,-123.77577
39.58844,-123.77616
39.58880,-123.77660
39.58922,-123.77710
39.58952,-123.77740
39.59024,-123.77807
39.59089,-123.77868
39.59127,-123.77902
39.59151,-123.77925
39.59160,-123.77934
39.59244,-123.78013
39.59278,-123.78042
39.59363,-123.78109
39.59467,-123.78182
39.59480,-123.78189
39.59507,-123.78203
39.59556,-123.78226
39.59567,-123.78232
39.59676,-123.78306
39.59703,-123.78322
39.59773,-123.78362
39.59797,-123.78374
39.59856,-123.78407
39.59913,-123.78440
39.60047,-123.78513
39.60110,-123.78552
39.60121,-123.78557
39.60139,-123.78561
39.60153,-123.78562
39.60177,-123.78559
39.60237,-123.78546
39.60268,-123.78539
39.60351,-123.78517
39.60362,-123.78512
