lon,lat
-123.7913810,39.4930180
-123.7914060,39.4929040
-123.7913880,39.4927650
-123.7913570,39.4926080
-123.7913440,39.4924650
-123.7914500,39.4923510
-123.7915430,39.4922950
-123.7916830,39.4922450
-123.7918160,39.4921920
-123.7919150,39.4921030
-123.7920320,39.4918900
-123.7918380,39.4918360
-123.7917010,39.4917410
-123.7914920,39.4916870
-123.7913020,39.4916300
-123.7913350,39.4915430
-123.7913740,39.4914310
-123.7913660,39.4913300
-123.7913970,39.4912750
-123.7912370,39.4911910
-123.7911670,39.4911100
-123.7911260,39.4910430
-123.7911160,39.4909460
-123.7911210,39.4908010
-123.7911380,39.4906790
-123.7911190,39.4906070
-123.7898750,39.4904490
-123.7891930,39.4904030
-123.7887420,39.4903970
-123.7879800,39.4904830
-123.7875570,39.4905020
-123.7872440,39.4905000
-123.7869500,39.4904670
-123.7866870,39.4903770
-123.7864470,39.4902940
-123.7860550,39.4900860
-123.7858830,39.4899950
-123.7856540,39.4902080
-123.7854430,39.4903980
-123.7851800,39.4905990
-123.7849330,39.4907960
-123.7846350,39.4909990
-123.7834690,39.4917570
-123.7831490,39.4919710
-123.7827050,39.4923230
-123.7816610,39.4930720
-123.7813830,39.4933070
-123.7812790,39.4934230
-123.7811500,39.4936410
-123.7810920,39.4937990
-123.7809930,39.4941790
-123.7808860,39.4949030
-123.7808450,39.4951130
-123.7807880,39.4952760
-123.7806800,39.4955780
-123.7805060,39.4960730
-123.7804130,39.4963480
-123.7801870,39.4968240
-123.7799570,39.4972700
-123.7797790,39.4975340
-123.7795290,39.4978140
-123.7792100,39.4981610
-123.7790230,39.4983630
-123.7788150,39.4985100
-123.7786560,39.4985550
-123.7784810,39.4985840
-123.7761040,39.4985270
-123.7755040,39.4985150
-123.7753160,39.4985180
-123.7751140,39.4985420
-123.7748310,39.4986220
-123.7746240,39.4987190
-123.7745100,39.4987870
-123.7744740,39.4988160
-123.7743320,39.4989320
-123.7742430,39.4990260
-123.7741350,39.4991680
-123.7740860,39.4992640
-123.7740400,39.4994230
-123.7740110,39.4996190
-123.7740250,39.4999190
-123.7740250,39.4999270
-123.7740320,39.5000920
-123.7740140,39.5002590
-123.7739670,39.5003470
-123.7735510,39.5008740
-123.7730100,39.5015380
-123.7729070,39.5016530
-123.7727060,39.5018640
-123.7725080,39.5020250
-123.7720490,39.5023320
-123.7718790,39.5024700
-123.7715480,39.5027800
-123.7710630,39.5032840
-123.7709470,39.5033870
-123.7706680,39.5035760
-123.7700420,39.5039580
-123.7682830,39.5050620
-123.7678310,39.5053720
-123.7675560,39.5056000
-123.7674470,39.5057070
-123.7667320,39.5063910
-123.7661210,39.5070260
-123.7659530,39.5072340
-123.7658460,39.5074620
-123.7657360,39.5078660
-123.7655970,39.5083170
-123.7654930,39.5085530
-123.7653550,39.5087600
-123.7652420,39.5088950
-123.7649650,39.5091410
-123.7648590,39.5092380
-123.7648200,39.5092880
-123.7647560,39.5093910
-123.7647190,39.5094980
-123.7646850,39.5096740
-123.7646470,39.5107300
-123.7646150,39.5110470
-123.7645810,39.5112900
-123.7645060,39.5116180
-123.7642390,39.5124890
-123.7639070,39.5134430
-123.7636230,39.5143380
-123.7633780,39.5151950
-123.7631040,39.5160080
-123.7630600,39.5161410
-123.7629700,39.5164690
-123.7629280,39.5166380
-123.7629200,39.5166690
-123.7627450,39.5172150
-123.7622230,39.5188700
-123.7620920,39.5193160
-123.7616690,39.5207490
-123.7615380,39.5211810
-123.7613240,39.5219360
-123.7610480,39.5225310
-123.7609980,39.5226680
-123.7609850,39.5227870
-123.7609860,39.5229700
-123.7610490,39.5235650
-123.7610340,39.5238720
-123.7609470,39.5242630
-123.7608150,39.5246920
-123.7607430,39.5249040
