lon,lat
-122.7992410,38.0420470
-122.7990510,38.0421370
-122.7987710,38.0422550
-122.7985300,38.0424350
-122.7983940,38.0426260
-122.7983500,38.0429710
-122.7983300,38.0431440
-122.7982720,38.0433930
-122.7982570,38.0435680
-122.7982340,38.0436430
-122.7981830,38.0437420
-122.7981370,38.0438030
-122.7980690,38.0438710
-122.7979800,38.0439370
-122.7979190,38.0439800
-122.7977610,38.0438230
-122.7971400,38.0433480
-122.7968550,38.0431650
-122.7967170,38.0430920
-122.7965550,38.0430300
-122.7962050,38.0429120
-122.7958980,38.0428370
-122.7956090,38.0428200
-122.7951550,38.0428150
-122.7947940,38.0428080
-122.7945380,38.0427850
-122.7942250,38.0427370
-122.7938710,38.0426320
-122.7926680,38.0421170
-122.7922280,38.0420140
-122.7917760,38.0419320
-122.7910370,38.0418760
-122.7903870,38.0418690
-122.7898070,38.0419010
-122.7895520,38.0419160
-122.7893320,38.0419280
-122.7891330,38.0419510
-122.7888000,38.0419900
-122.7888670,38.0423490
-122.7888960,38.0427050
-122.7888960,38.0429450
-122.7888790,38.0433090
-122.7888480,38.0434750
-122.7888700,38.0436320
-122.7889130,38.0437610
-122.7889940,38.0439110
-122.7891020,38.0440420
-122.7892460,38.0441930
-122.7894130,38.0443120
-122.7897890,38.0445490
-122.7899130,38.0446510
-122.7899480,38.0446860
-122.7900590,38.0447920
-122.7902240,38.0449590
-122.7904070,38.0451550
-122.7905450,38.0453210
-122.7914820,38.0464590
-122.7916370,38.0466250
-122.7918370,38.0467880
-122.7920310,38.0469260
-122.7921700,38.0470570
-122.7922610,38.0471670
-122.7923400,38.0473070
-122.7923810,38.0474230
-122.7924180,38.0475590
-122.7925340,38.0486070
-122.7925950,38.0488610
-122.7926620,38.0490500
-122.7927680,38.0492450
-122.7929640,38.0495600
-122.7934420,38.0503520
-122.7939160,38.0511400
-122.7940690,38.0514710
-122.7942500,38.0518720
-122.7943660,38.0521350
-122.7944380,38.0522660
-122.7945670,38.0524080
-122.7946360,38.0524760
-122.7947490,38.0525640
-122.7964420,38.0535220
-122.7968900,38.0538220
-122.7971150,38.0539860
-122.7974680,38.0542380
-122.7976090,38.0543600
-122.7977810,38.0545400
-122.7980440,38.0548900
-122.7981590,38.0550710
-122.7982320,38.0552290
-122.7982880,38.0554070
-122.7985690,38.0564510
-122.7987060,38.0569190
-122.7987950,38.0571110
-122.7988970,38.0572930
-122.7990260,38.0574420
-122.7991540,38.0575650
-122.7992380,38.0576320
-122.7993290,38.0576920
-122.7994330,38.0577490
-122.7995490,38.0578020
-122.7998670,38.0579150
-122.8001270,38.0580130
-122.8003610,38.0581110
-122.8005920,38.0582460
-122.8007170,38.0583500
-122.8008340,38.0584780
-122.8009750,38.0586970
-122.8012080,38.0591010
-122.8014570,38.0595910
-122.8016710,38.0600510
-122.8017570,38.0601950
-122.8018530,38.0603230
-122.8020840,38.0605530
-122.8025490,38.0610120
-122.8026510,38.0611150
-122.8028930,38.0613670
-122.8030660,38.0615480
-122.8032840,38.0617770
-122.8036850,38.0621960
-122.8040020,38.0625310
-122.8042970,38.0628410
-122.8045450,38.0631020
-122.8046860,38.0632490
-122.8047550,38.0633220
-122.8047920,38.0633620
-122.8048270,38.0634030
-122.8048580,38.0634430
-122.8048910,38.0634860
-122.8049210,38.0635310
-122.8049520,38.0635780
-122.8049770,38.0636210
-122.8049990,38.0636620
-122.8050200,38.0637050
