lat,lon
37.63835,-122.40066 
37.63861,-122.40079 
37.63871,-122.40085 
37.63875,-122.40087 
37.63900,-122.40102 
37.63914,-122.40111 
37.63917,-122.40113 
37.63922,-122.40117 
37.63948,-122.40134 
37.63971,-122.40149 
37.63990,-122.40161 
37.64030,-122.40185 
37.64051,-122.40198 
37.64097,-122.40225 
37.64118,-122.40238 
37.64123,-122.40241 
37.64156,-122.40261 
37.64183,-122.40277 
37.64198,-122.40286 
37.64214,-122.40295 
37.64216,-122.40296 
37.64233,-122.40306 
37.64234,-122.40307 
37.64248,-122.40315 
37.64275,-122.40332 
37.64289,-122.40340 
37.64311,-122.40354 
37.64319,-122.40358 
37.64349,-122.40376 
37.64366,-122.40386 
37.64392,-122.40402 
37.64411,-122.40413 
37.64441,-122.40431 
37.64475,-122.40451 
37.64476,-122.40451 
37.64519,-122.40477 
37.64555,-122.40498 
37.64587,-122.40517 
37.64594,-122.40521 
37.64606,-122.40528 
37.64619,-122.40533 
37.64632,-122.40538 
37.64647,-122.40541 
37.64659,-122.40543 
37.64676,-122.40544 
37.64681,-122.40560 
37.64679,-122.40587 
37.64680,-122.40595 
37.64682,-122.40602 
37.64686,-122.40609 
37.64691,-122.40613 
37.64697,-122.40616 
37.64706,-122.40618 
37.64715,-122.40620 
37.64728,-122.40622 
37.64742,-122.40624 
37.64755,-122.40626 
37.64769,-122.40629 
37.64855,-122.40651 
37.64898,-122.40655 
37.64983,-122.40662 
37.65015,-122.40665 
37.65042,-122.40668 
37.65145,-122.40676 
37.65185,-122.40680 
37.65299,-122.40690 
37.65311,-122.40691 
37.65317,-122.40691 
37.65345,-122.40692 
37.65371,-122.40692 
37.65398,-122.40691 
37.65422,-122.40689 
37.65446,-122.40686 
37.65470,-122.40683 
37.65497,-122.40678 
37.65521,-122.40673 
37.65548,-122.40667 
37.65573,-122.40660 
37.65600,-122.40652 
37.65626,-122.40642 
37.65650,-122.40632 
37.65676,-122.40619 
37.65800,-122.40556 
37.65846,-122.40532 
37.65870,-122.40519 
37.65895,-122.40506 
37.65917,-122.40492 
37.65939,-122.40477 
37.65961,-122.40460 
37.65983,-122.40443 
37.66008,-122.40421 
37.66031,-122.40399 
37.66052,-122.40377 
37.66074,-122.40351 
37.66094,-122.40327 
37.66112,-122.40303 
37.66130,-122.40276 
37.66146,-122.40251 
37.66327,-122.39969 
37.66344,-122.39942 
37.66361,-122.39917 
37.66378,-122.39891 
37.66396,-122.39866 
37.66413,-122.39841 
37.66431,-122.39817 
37.66448,-122.39795 
37.66468,-122.39770 
37.66487,-122.39747 
37.66506,-122.39726 
37.66528,-122.39702 
37.66548,-122.39680 
37.66567,-122.39659 
37.66588,-122.39639 
37.66608,-122.39620 
37.66671,-122.39561 
37.66765,-122.39470 
37.66984,-122.39260 
37.67005,-122.39240 
37.67026,-122.39222 
37.67048,-122.39203 
37.67070,-122.39184 
37.67092,-122.39166 
37.67114,-122.39148 
37.67136,-122.39131 
37.67158,-122.39114 
37.67181,-122.39097 
37.67204,-122.39081 
37.67227,-122.39065 
37.67250,-122.39050 
37.67273,-122.39035 
37.67297,-122.39020 
37.67319,-122.39007 
37.67330,-122.39000 
37.67340,-122.38994 
37.67364,-122.38980 
37.67388,-122.38967 
37.67412,-122.38953 
37.67436,-122.38941 
37.67461,-122.38929 
37.67485,-122.38917 
37.67493,-122.38913 
37.67513,-122.38904 
37.67537,-122.38894 
37.67562,-122.38883 
37.67587,-122.38873 
37.67612,-122.38864 
37.67638,-122.38855 
37.67663,-122.38849 
37.67689,-122.38843 
37.67715,-122.38838 
37.67741,-122.38834 
37.67767,-122.38831 
37.67794,-122.38829 
37.67820,-122.38828 
37.67846,-122.38828 
37.67873,-122.38830 
37.67899,-122.38832 
37.67925,-122.38836 
37.67950,-122.38840 
37.67977,-122.38845 
37.68003,-122.38851 
37.68029,-122.38857 
37.68081,-122.38867 
37.68133,-122.38877 
37.68185,-122.38888 
37.68236,-122.38899 
37.68287,-122.38911 
37.68881,-122.39045 
37.69062,-122.39086 
37.69346,-122.39150 
37.69477,-122.39179 
37.69798,-122.39252 
37.70081,-122.39315 
37.70378,-122.39382 
37.70532,-122.39417 
37.70584,-122.39429 
37.70636,-122.39441 
37.70687,-122.39452 
37.70739,-122.39464 
37.70773,-122.39471 
37.70790,-122.39475 
37.70825,-122.39483 
37.70848,-122.39489 
37.70895,-122.39499 
37.70942,-122.39510 
37.71026,-122.39528 
37.71077,-122.39540 
37.71110,-122.39548 
37.71122,-122.39551 
37.71136,-122.39554 
37.71149,-122.39558 
37.71161,-122.39562 
37.71175,-122.39567 
37.71187,-122.39572 
37.71200,-122.39576 
37.71212,-122.39581 
37.71224,-122.39586 
37.71236,-122.39592 
37.71249,-122.39598 
37.71262,-122.39604 
37.71274,-122.39611 
37.71286,-122.39618 
37.71298,-122.39625 
37.71310,-122.39633 
37.71321,-122.39641 
37.71332,-122.39649 
37.71344,-122.39658 
37.71355,-122.39666 
37.71366,-122.39675 
37.71377,-122.39684 
37.71466,-122.39758 
37.71487,-122.39777 
37.71498,-122.39785 
37.71509,-122.39794 
37.71521,-122.39802 
37.71532,-122.39810 
37.71543,-122.39818 
37.71555,-122.39826 
37.71566,-122.39833 
37.71578,-122.39840 
37.71591,-122.39847 
37.71604,-122.39853 
37.71615,-122.39859 
37.71628,-122.39865 
37.71640,-122.39871 
37.71651,-122.39875 
37.71664,-122.39880 
37.71676,-122.39885 
37.71689,-122.39889 
37.71702,-122.39893 
37.71715,-122.39897 
37.71728,-122.39901 
37.71895,-122.39945 
37.71902,-122.39947 
37.71972,-122.39966 
37.72042,-122.39989 
37.72073,-122.39999 
37.72100,-122.40006 
37.72164,-122.40027 
37.72214,-122.40048 
37.72350,-122.40104 
37.72392,-122.40121 
37.72396,-122.40122 
37.72497,-122.40156 
37.72525,-122.40161 
37.72553,-122.40169 
37.72620,-122.40191 
37.72784,-122.40246 
37.72801,-122.40252 
37.72869,-122.40276 
37.72893,-122.40287 
37.72931,-122.40304 
37.72956,-122.40316 
37.72981,-122.40329 
37.73083,-122.40383 
37.73118,-122.40400 
37.73248,-122.40457 
37.73298,-122.40482 
37.73319,-122.40491 
37.73344,-122.40499 
37.73363,-122.40502 
37.73383,-122.40504 
37.73403,-122.40505 
37.73424,-122.40503 
37.73443,-122.40501 
37.73462,-122.40497 
37.73481,-122.40491 
37.73500,-122.40484 
37.73519,-122.40475 
37.73536,-122.40465 
37.73554,-122.40454 
37.73570,-122.40442 
37.73588,-122.40425 
37.73605,-122.40408 
37.73621,-122.40390 
37.73636,-122.40368 
37.73687,-122.40292 
37.73703,-122.40268 
37.73720,-122.40243 
37.73738,-122.40218 
37.73758,-122.40195 
37.73779,-122.40173 
37.73800,-122.40153 
37.73820,-122.40129 
37.73842,-122.40105 
37.73864,-122.40082 
37.73886,-122.40060 
37.73909,-122.40038 
37.73939,-122.40011 
37.73982,-122.39973 
37.74267,-122.39715 
37.74345,-122.39645 
37.74365,-122.39624 
37.74384,-122.39604 
37.74406,-122.39579 
37.74426,-122.39558 
37.74446,-122.39536 
37.74472,-122.39511 
37.74496,-122.39488 
37.74520,-122.39467 
37.74543,-122.39449 
37.74565,-122.39431 
37.74588,-122.39414 
37.74611,-122.39398 
37.74635,-122.39382 
37.74659,-122.39367 
37.74683,-122.39353 
37.74986,-122.39182 
37.75009,-122.39171 
37.75033,-122.39161 
37.75057,-122.39152 
37.75083,-122.39144 
37.75109,-122.39137 
37.75135,-122.39132 
37.75162,-122.39127 
37.75187,-122.39125 
37.75215,-122.39123 
37.75241,-122.39123 
37.75267,-122.39125 
37.75291,-122.39128 
37.75317,-122.39133 
37.75342,-122.39138 
37.75368,-122.39145 
37.75392,-122.39153 
37.75496,-122.39191 
37.75523,-122.39199 
37.75549,-122.39206 
37.75575,-122.39212 
37.75602,-122.39217 
37.75627,-122.39221 
37.75649,-122.39224 
37.75679,-122.39223 
37.75701,-122.39222 
37.75730,-122.39221 
37.75814,-122.39220 
37.75896,-122.39222 
37.75923,-122.39222 
37.75952,-122.39224 
37.75980,-122.39225 
37.76007,-122.39227 
37.76106,-122.39236 
37.76134,-122.39230 
37.76208,-122.39229 
37.76232,-122.39230 
