lon,lat
-124.4203490,42.4109890
-124.4203730,42.4109890
-124.4204840,42.4109920
-124.4205330,42.4116790
-124.4205680,42.4121490
-124.4205860,42.4123830
-124.4205920,42.4124460
-124.4206000,42.4125500
-124.4206440,42.4131100
-124.4206490,42.4131670
-124.4206880,42.4136620
-124.4206960,42.4137690
-124.4207360,42.4144790
-124.4207190,42.4147960
-124.4206590,42.4150870
-124.4205450,42.4153960
-124.4203780,42.4157380
-124.4203390,42.4158050
-124.4198410,42.4167110
-124.4198040,42.4167790
-124.4195170,42.4172950
-124.4192890,42.4177060
-124.4192340,42.4178060
-124.4190190,42.4182240
-124.4187190,42.4187430
-124.4184960,42.4190860
-124.4182900,42.4193830
-124.4177750,42.4201120
-124.4168980,42.4215720
-124.4167960,42.4217470
-124.4165730,42.4220190
-124.4163420,42.4222790
-124.4161410,42.4224480
-124.4159810,42.4225830
-124.4156210,42.4228050
-124.4152770,42.4229890
-124.4148650,42.4231600
-124.4139880,42.4235300
-124.4136720,42.4237250
-124.4134680,42.4239490
-124.4133410,42.4241850
-124.4133120,42.4243060
-124.4132860,42.4245660
-124.4132340,42.4290830
-124.4132430,42.4293180
-124.4133150,42.4295020
-124.4133600,42.4295870
-124.4134240,42.4296700
-124.4134490,42.4296970
-124.4135400,42.4297910
-124.4138380,42.4299840
-124.4139080,42.4300260
-124.4139820,42.4300630
-124.4140590,42.4300970
-124.4141510,42.4301310
-124.4142450,42.4301590
-124.4143720,42.4301890
-124.4144960,42.4302120
-124.4146390,42.4302330
-124.4147820,42.4302410
-124.4152390,42.4302550
-124.4177950,42.4303310
-124.4181140,42.4303330
-124.4184680,42.4303230
-124.4188140,42.4302960
-124.4189950,42.4302800
-124.4191740,42.4302570
-124.4193580,42.4302270
-124.4195390,42.4301910
-124.4201840,42.4300530
-124.4208990,42.4298820
-124.4216050,42.4297120
-124.4232290,42.4293280
-124.4241480,42.4291040
-124.4247200,42.4289740
-124.4251310,42.4289000
-124.4254080,42.4288600
-124.4256580,42.4288320
-124.4259380,42.4288170
-124.4261060,42.4288140
-124.4262720,42.4288140
-124.4265630,42.4288240
-124.4269120,42.4288550
