lat,lon
44.05470,-124.11252 
44.05420,-124.11228 
44.05390,-124.11211 
44.05358,-124.11174 
44.05235,-124.11009 
44.05216,-124.10973 
44.05200,-124.10949 
44.05163,-124.10941 
44.05121,-124.10934 
44.05096,-124.10923 
44.05084,-124.10912 
44.05063,-124.10882 
44.05049,-124.10854 
44.05003,-124.10732 
44.04988,-124.10677 
44.04971,-124.10589 
44.04966,-124.10564 
44.04958,-124.10538 
44.04928,-124.10487 
44.04894,-124.10461 
44.04845,-124.10416 
44.04808,-124.10384 
44.04770,-124.10349 
44.04738,-124.10322 
44.04705,-124.10294 
44.04654,-124.10250 
44.04590,-124.10193 
44.04567,-124.10174 
44.04550,-124.10148 
44.04540,-124.10118 
44.04535,-124.10081 
44.04538,-124.10041 
44.04530,-124.09991 
44.04509,-124.09954 
44.04496,-124.09929 
44.04490,-124.09903 
44.04489,-124.09882 
44.04146,-124.09908 
44.03819,-124.09946 
44.03606,-124.09969 
44.03454,-124.09989 
44.03425,-124.09992 
44.03105,-124.10026 
44.03065,-124.10030 
44.03011,-124.10036 
44.03000,-124.10037 
44.02832,-124.10057 
44.02752,-124.10066 
44.02712,-124.10070 
44.02579,-124.10085 
44.02399,-124.10104 
44.02263,-124.10126 
44.02050,-124.10146 
44.01951,-124.10155 
44.01863,-124.10165 
44.01815,-124.10171 
44.01790,-124.10171 
44.01782,-124.10171 
44.01665,-124.10169 
44.01586,-124.10169 
44.01547,-124.10169 
44.01366,-124.10167 
44.01284,-124.10165 
44.01214,-124.10165 
44.01018,-124.10162 
44.00900,-124.10158 
44.00646,-124.10156 
44.00639,-124.10156 
44.00576,-124.10156 
44.00562,-124.10156 
44.00541,-124.10156 
44.00514,-124.10156 
44.00504,-124.10155 
44.00447,-124.10155 
44.00392,-124.10154 
44.00390,-124.10154 
44.00387,-124.10154 
44.00318,-124.10153 
44.00277,-124.10153 
44.00237,-124.10152 
44.00217,-124.10152 
44.00146,-124.10150 
44.00116,-124.10150 
43.99962,-124.10148 
43.99862,-124.10146 
43.99824,-124.10146 
43.99781,-124.10145 
43.99776,-124.10145 
43.99693,-124.10144 
43.99607,-124.10143 
43.99486,-124.10141 
43.99439,-124.10140 
43.99410,-124.10140 
43.99391,-124.10140 
43.99353,-124.10139 
43.99268,-124.10138 
43.99183,-124.10137 
43.99097,-124.10136 
43.99057,-124.10135 
43.99013,-124.10135 
43.98931,-124.10134 
43.98891,-124.10133 
43.98866,-124.10133 
43.98843,-124.10132 
43.98809,-124.10132 
43.98730,-124.10131 
43.98728,-124.10131 
43.98653,-124.10130 
43.98629,-124.10129 
43.98609,-124.10129 
43.98594,-124.10129 
43.98587,-124.10129 
43.98503,-124.10128 
43.98420,-124.10126 
43.98416,-124.10126 
43.98360,-124.10126 
43.98333,-124.10125 
43.98312,-124.10125 
43.98282,-124.10125 
43.98248,-124.10124 
43.98218,-124.10124 
43.98203,-124.10123 
43.98162,-124.10123 
43.98132,-124.10122 
43.98110,-124.10122 
43.98109,-124.10122 
43.98077,-124.10122 
43.97992,-124.10121 
43.97897,-124.10121 
43.97825,-124.10122 
43.97813,-124.10123 
43.97788,-124.10125 
43.97767,-124.10129 
43.97759,-124.10132 
43.97736,-124.10138 
43.97691,-124.10157 
43.97650,-124.10181 
43.97620,-124.10200 
43.97591,-124.10221 
43.97557,-124.10247 
43.97520,-124.10274 
43.97468,-124.10312 
43.97469,-124.10288 
43.97474,-124.10233 
43.97476,-124.10206 
43.97474,-124.10171 
43.97468,-124.10118 
43.97457,-124.09991 
43.97447,-124.09870 
43.97443,-124.09796 
43.97440,-124.09739 
43.97441,-124.09684 
43.97445,-124.09643 
43.97449,-124.09610 
43.97454,-124.09581 
43.97459,-124.09558 
43.97467,-124.09526 
43.97477,-124.09488 
43.97487,-124.09458 
43.97498,-124.09430 
43.97509,-124.09405 
43.97551,-124.09323 
43.97554,-124.09316 
43.97572,-124.09283 
43.97584,-124.09258 
43.97596,-124.09231 
43.97609,-124.09200 
43.97618,-124.09173 
43.97625,-124.09148 
43.97632,-124.09122 
43.97640,-124.09077 
43.97645,-124.09046 
43.97649,-124.09004 
43.97650,-124.08956 
43.97650,-124.08915 
43.97647,-124.08741 
43.97643,-124.08398 
43.97646,-124.08347 
43.97651,-124.08277 
43.97663,-124.08192 
43.97698,-124.07944 
43.97702,-124.07907 
43.97705,-124.07861 
43.97705,-124.07813 
43.97703,-124.07760 
43.97699,-124.07711 
43.97691,-124.07660 
43.97672,-124.07563 
43.97662,-124.07513 
43.97653,-124.07460 
43.97648,-124.07400 
43.97646,-124.07354 
43.97644,-124.07286 
43.97642,-124.07150 
43.97642,-124.07048 
43.97644,-124.07001 
43.97648,-124.06954 
43.97655,-124.06903 
43.97669,-124.06820 
43.97699,-124.06651 
43.97723,-124.06517 
43.97736,-124.06451 
43.97752,-124.06382 
43.97790,-124.06253 
43.97815,-124.06167 
43.97834,-124.06105 
43.97855,-124.06043 
43.97874,-124.05992 
43.97899,-124.05937 
43.97919,-124.05897 
43.98022,-124.05678 
43.98109,-124.05493 
43.98164,-124.05381 
43.98198,-124.05306 
43.98225,-124.05237 
43.98243,-124.05176 
43.98255,-124.05121 
43.98271,-124.05035 
43.98281,-124.04996 
43.98297,-124.04947 
43.98315,-124.04901 
43.98334,-124.04860 
43.98408,-124.04714 
43.98456,-124.04621 
43.98497,-124.04539 
43.98510,-124.04512 
43.98528,-124.04473 
43.98544,-124.04440 
43.98675,-124.04175 
43.98815,-124.03898 
43.98897,-124.03727 
43.98977,-124.03564 
43.99198,-124.03122 
43.99235,-124.03048 
43.99276,-124.02973 
43.99451,-124.02685 
43.99523,-124.02566 
43.99609,-124.02423 
43.99697,-124.02281 
43.99759,-124.02177 
43.99872,-124.01988 
44.00014,-124.01755 
44.00077,-124.01651 
44.00132,-124.01562 
44.00148,-124.01535 
44.00290,-124.01302 
44.00349,-124.01204 
44.00380,-124.01153 
44.00409,-124.01105 
44.00435,-124.01065 
44.00489,-124.00982 
44.00546,-124.00893 
44.00605,-124.00798 
44.00636,-124.00749 
44.00703,-124.00645 
44.00743,-124.00585 
44.00776,-124.00539 
44.00814,-124.00487 
44.00861,-124.00431 
44.00896,-124.00391 
44.00937,-124.00348 
44.00977,-124.00308 
44.01022,-124.00262 
44.01072,-124.00214 
44.01103,-124.00183 
44.01114,-124.00170 
44.01130,-124.00151 
44.01142,-124.00135 
44.01159,-124.00106 
