lon,lat
-124.1125220,44.0547010
-124.1122770,44.0542030
-124.1121130,44.0539020
-124.1117440,44.0535800
-124.1100870,44.0523490
-124.1097330,44.0521600
-124.1094950,44.0520010
-124.1094100,44.0516350
-124.1093410,44.0512140
-124.1092310,44.0509610
-124.1091220,44.0508430
-124.1088230,44.0506300
-124.1085420,44.0504910
-124.1073200,44.0500320
-124.1067700,44.0498790
-124.1058920,44.0497110
-124.1056410,44.0496600
-124.1053810,44.0495810
-124.1048690,44.0492760
-124.1046100,44.0489370
-124.1041610,44.0484500
-124.1038350,44.0480770
-124.1034900,44.0476960
-124.1032160,44.0473850
-124.1029370,44.0470510
-124.1024980,44.0465370
-124.1019280,44.0459020
-124.1017400,44.0456710
-124.1014770,44.0455010
-124.1011800,44.0453980
-124.1008060,44.0453510
-124.1004140,44.0453760
-124.0999070,44.0452960
-124.0995440,44.0450860
-124.0992930,44.0449560
-124.0990280,44.0449010
-124.0988180,44.0448880
-124.0990820,44.0414620
-124.0994590,44.0381860
-124.0996910,44.0360570
-124.0998900,44.0345410
-124.0999200,44.0342540
-124.1002570,44.0310530
-124.1003000,44.0306540
-124.1003590,44.0301130
-124.1003700,44.0300030
-124.1005680,44.0283200
-124.1006620,44.0275200
-124.1007040,44.0271250
-124.1008460,44.0257920
-124.1010390,44.0239870
-124.1012590,44.0226260
-124.1014570,44.0204960
-124.1015500,44.0195070
-124.1016480,44.0186290
-124.1017080,44.0181480
-124.1017080,44.0178950
-124.1017060,44.0178210
-124.1016910,44.0166540
-124.1016920,44.0158570
-124.1016870,44.0154740
-124.1016670,44.0136630
-124.1016520,44.0128390
-124.1016500,44.0126150
-124.1016470,44.0121370
-124.1016170,44.0101850
-124.1015800,44.0090000
-124.1015640,44.0064560
-124.1015630,44.0063900
-124.1015590,44.0057640
-124.1015580,44.0056230
-124.1015570,44.0054120
-124.1015550,44.0051410
-124.1015540,44.0050430
-124.1015470,44.0044740
-124.1015410,44.0039240
-124.1015410,44.0039010
-124.1015400,44.0038740
-124.1015320,44.0031790
-124.1015270,44.0027750
-124.1015220,44.0023690
-124.1015190,44.0021720
-124.1015040,44.0014580
-124.1014980,44.0011610
-124.1014770,43.9996180
-124.1014630,43.9986250
-124.1014570,43.9982410
-124.1014510,43.9978120
-124.1014510,43.9977570
-124.1014470,43.9974320
-124.1014400,43.9969280
-124.1014280,43.9960720
-124.1014110,43.9948640
-124.1014050,43.9943850
-124.1014010,43.9941010
-124.1013980,43.9939100
-124.1013930,43.9935270
-124.1013810,43.9926840
-124.1013690,43.9918270
-124.1013580,43.9909670
-124.1013520,43.9905690
-124.1013460,43.9901310
-124.1013350,43.9893080
-124.1013290,43.9889070
-124.1013260,43.9886640
-124.1013240,43.9884340
-124.1013180,43.9880870
-124.1013070,43.9873000
-124.1013070,43.9872770
-124.1012960,43.9865340
-124.1012930,43.9862850
-124.1012910,43.9860910
-124.1012880,43.9859400
-124.1012880,43.9858700
-124.1012760,43.9850310
-124.1012640,43.9841990
-124.1012640,43.9841600
-124.1012580,43.9837520
-124.1012560,43.9835950
-124.1012530,43.9833310
-124.1012490,43.9831210
-124.1012450,43.9828250
-124.1012410,43.9824800
-124.1012370,43.9821820
-124.1012340,43.9820330
-124.1012290,43.9816220
-124.1012250,43.9813210
-124.1012210,43.9811050
-124.1012210,43.9810860
-124.1012180,43.9807730
-124.1012060,43.9799220
-124.1012090,43.9789680
-124.1012220,43.9782520
-124.1012330,43.9781280
-124.1012540,43.9778830
-124.1012920,43.9776730
-124.1013190,43.9775930
-124.1013810,43.9773560
-124.1015660,43.9769140
-124.1016330,43.9768010
-124.1018220,43.9765110
-124.1019410,43.9763310
-124.1020270,43.9762090
-124.1022330,43.9759230
-124.1024900,43.9755690
-124.1027390,43.9751980
-124.1031170,43.9746810
-124.1028780,43.9746920
-124.1023300,43.9747370
-124.1020600,43.9747550
-124.1018930,43.9747460
-124.1017090,43.9747360
-124.1011800,43.9746810
-124.0999090,43.9745700
-124.0987010,43.9744650
-124.0979630,43.9744260
-124.0973940,43.9743950
-124.0968420,43.9744110
-124.0964340,43.9744470
-124.0961000,43.9744870
-124.0958060,43.9745380
-124.0955760,43.9745870
-124.0952610,43.9746730
-124.0948780,43.9747740
-124.0945820,43.9748740
-124.0943030,43.9749800
-124.0940530,43.9750870
-124.0932260,43.9755080
-124.0931570,43.9755450
-124.0928340,43.9757160
-124.0925850,43.9758430
-124.0923140,43.9759630
-124.0919970,43.9760870
-124.0917280,43.9761770
-124.0914770,43.9762480
-124.0912200,43.9763160
-124.0907700,43.9764040
-124.0904650,43.9764470
-124.0900420,43.9764870
-124.0895580,43.9765030
-124.0891520,43.9765020
-124.0874150,43.9764660
-124.0839790,43.9764340
-124.0834650,43.9764610
-124.0827680,43.9765140
-124.0819170,43.9766330
-124.0794440,43.9769770
-124.0790660,43.9770190
-124.0786090,43.9770480
-124.0781270,43.9770530
-124.0776040,43.9770290
-124.0771130,43.9769870
-124.0766010,43.9769090
-124.0756310,43.9767180
-124.0751270,43.9766230
-124.0745960,43.9765350
-124.0740000,43.9764830
-124.0735430,43.9764620
-124.0728570,43.9764450
-124.0715020,43.9764190
-124.0704760,43.9764160
-124.0700140,43.9764360
-124.0695430,43.9764760
-124.0690330,43.9765480
-124.0682000,43.9766900
-124.0665140,43.9769870
-124.0651700,43.9772280
-124.0645130,43.9773650
-124.0638190,43.9775240
-124.0625330,43.9779010
-124.0616740,43.9781530
-124.0610460,43.9783430
-124.0604300,43.9785480
-124.0599240,43.9787400
-124.0593660,43.9789900
-124.0589730,43.9791890
-124.0567750,43.9802200
-124.0549300,43.9810920
-124.0538100,43.9816370
-124.0530580,43.9819760
-124.0523680,43.9822490
-124.0517590,43.9824320
-124.0512090,43.9825470
-124.0503530,43.9827140
-124.0499630,43.9828130
-124.0494710,43.9829680
-124.0490090,43.9831500
-124.0486010,43.9833380
-124.0471420,43.9840830
-124.0462050,43.9845570
-124.0453880,43.9849700
-124.0451180,43.9850980
-124.0447320,43.9852840
-124.0444030,43.9854430
-124.0417550,43.9867510
-124.0389760,43.9881500
-124.0372740,43.9889690
-124.0356430,43.9897700
-124.0312220,43.9919790
-124.0304790,43.9923540
-124.0297320,43.9927610
-124.0268510,43.9945080
-124.0256580,43.9952290
-124.0242260,43.9960920
-124.0228070,43.9969700
-124.0217660,43.9975930
-124.0198790,43.9987240
-124.0175530,44.0001380
-124.0165080,44.0007740
-124.0156170,44.0013170
-124.0153500,44.0014820
-124.0130190,44.0028980
-124.0120400,44.0034860
-124.0115350,44.0037980
-124.0110520,44.0040950
-124.0106550,44.0043520
-124.0098230,44.0048850
-124.0089260,44.0054570
-124.0079800,44.0060530
-124.0074920,44.0063610
-124.0064510,44.0070310
-124.0058500,44.0074320
-124.0053850,44.0077600
-124.0048700,44.0081420
-124.0043070,44.0086070
-124.0039110,44.0089590
-124.0034770,44.0093720
-124.0030770,44.0097680
-124.0026250,44.0102230
-124.0021450,44.0107160
-124.0018310,44.0110270
-124.0017030,44.0111390
-124.0015060,44.0113020
-124.0013470,44.0114180
-124.0010590,44.0115950
-124.0008520,44.0117140
-124.0001390,44.0120610
-123.9998710,44.0121620
-123.9993120,44.0123890
-123.9986560,44.0126690
-123.9977400,44.0130400
-123.9971860,44.0132420
-123.9966070,44.0134420
-123.9958730,44.0136740
-123.9940980,44.0141600
-123.9919230,44.0147540
-123.9913930,44.0148990
-123.9908910,44.0150350
-123.9903750,44.0151750
-123.9898800,44.0153160
-123.9894420,44.0154510
-123.9890150,44.0156060
-123.9886280,44.0157680
-123.9882750,44.0159320
-123.9874070,44.0163670
-123.9866960,44.0167320
-123.9863050,44.0169180
-123.9860720,44.0170170
-123.9858250,44.0171300
-123.9854210,44.0172710
-123.9851730,44.0173570
-123.9845410,44.0175270
-123.9842360,44.0176010
-123.9838340,44.0176750
-123.9835280,44.0177200
-123.9832320,44.0177550
-123.9828170,44.0177990
-123.9822420,44.0178370
-123.9817850,44.0178630
-123.9809150,44.0179220
-123.9804600,44.0179530
-123.9799630,44.0179970
-123.9796650,44.0180360
-123.9793080,44.0180840
-123.9788060,44.0181770
-123.9772690,44.0184810
-123.9767400,44.0185830
-123.9761490,44.0186960
-123.9747510,44.0189700
-123.9739770,44.0191050
-123.9727880,44.0193000
-123.9698820,44.0197600
-123.9693610,44.0198170
-123.9689850,44.0198530
-123.9685200,44.0198830
-123.9681280,44.0199010
-123.9676850,44.0198980
-123.9672910,44.0199010
-123.9668490,44.0198900
-123.9664380,44.0198650
-123.9660950,44.0198380
-123.9644350,44.0196860
-123.9633640,44.0195960
-123.9625950,44.0195270
-123.9618370,44.0194560
-123.9614440,44.0194010
-123.9609610,44.0193280
-123.9601180,44.0191760
-123.9590010,44.0189870
-123.9584490,44.0189130
-123.9580040,44.0188720
-123.9574940,44.0188310
-123.9565580,44.0187940
-123.9556650,44.0187670
-123.9547910,44.0187340
-123.9537190,44.0186960
-123.9531640,44.0186740
-123.9526100,44.0186500
-123.9521410,44.0186180
-123.9514590,44.0185630
-123.9508780,44.0184980
-123.9503410,44.0184340
-123.9498350,44.0183550
-123.9491240,44.0182220
-123.9485050,44.0180880
-123.9478640,44.0179380
-123.9473770,44.0178040
-123.9467210,44.0176130
-123.9462260,44.0174500
-123.9454310,44.0171560
-123.9450460,44.0170020
-123.9434210,44.0163330
-123.9429900,44.0161690
-123.9426390,44.0160480
-123.9422520,44.0159190
-123.9419840,44.0158420
-123.9417120,44.0157670
-123.9414600,44.0157070
-123.9408690,44.0155810
-123.9405300,44.0155220
-123.9400200,44.0154490
-123.9394700,44.0153850
-123.9388380,44.0153420
-123.9380760,44.0153260
-123.9376210,44.0153330
-123.9370120,44.0153640
-123.9363120,44.0154120
-123.9356710,44.0154710
-123.9343210,44.0155890
-123.9333860,44.0156780
-123.9317490,44.0158280
-123.9296720,44.0160130
-123.9280300,44.0161650
-123.9270090,44.0162490
-123.9266050,44.0162730
-123.9259240,44.0162970
-123.9254330,44.0163070
-123.9249100,44.0162940
-123.9242570,44.0162640
-123.9234650,44.0162080
-123.9223490,44.0161310
-123.9213650,44.0160630
-123.9201000,44.0159750
-123.9187170,44.0158740
-123.9181030,44.0158510
-123.9176270,44.0158580
-123.9171960,44.0158840
-123.9165910,44.0159600
-123.9159270,44.0160970
-123.9154000,44.0162660
-123.9151310,44.0163540
-123.9148580,44.0164500
-123.9144270,44.0166290
-123.9139910,44.0168540
-123.9136970,44.0170280
-123.9131640,44.0174130
-123.9127700,44.0177550
-123.9124980,44.0180210
-123.9120220,44.0185750
-123.9107760,44.0201360
-123.9104230,44.0205720
-123.9098530,44.0212840
-123.9096100,44.0215780
-123.9094010,44.0218120
-123.9092020,44.0220100
-123.9090040,44.0221870
-123.9087400,44.0223880
-123.9085430,44.0225140
-123.9083410,44.0226300
-123.9079580,44.0228050
-123.9075580,44.0229530
-123.9071530,44.0230560
-123.9068760,44.0231080
-123.9066170,44.0231460
-123.9061360,44.0231800
