lat,lon
45.56259,-122.80728
45.56255,-122.80727
45.56221,-122.80711
45.56200,-122.80699
45.56193,-122.80697
45.56185,-122.80696
45.56177,-122.80694
45.56170,-122.80689
45.56164,-122.80683
45.56159,-122.80673
45.56155,-122.80664
45.56152,-122.80652
45.56151,-122.80642
45.56152,-122.80593
45.56091,-122.80593
45.55948,-122.80594
45.55944,-122.80594
45.55940,-122.80596
45.55937,-122.80599
45.55935,-122.80604
45.55933,-122.80609
45.55933,-122.80619
45.55935,-122.80677
45.55925,-122.80679
45.55887,-122.80697
45.55879,-122.80700
45.55853,-122.80709
45.55848,-122.80711
45.55841,-122.80715
45.55835,-122.80721
45.55823,-122.80735
45.55817,-122.80741
45.55811,-122.80745
45.55805,-122.80748
45.55792,-122.80751
45.55781,-122.80751
45.55772,-122.80752
45.55765,-122.80753
45.55759,-122.80756
45.55709,-122.80791
45.55703,-122.80793
45.55696,-122.80797
45.55667,-122.80818
45.55660,-122.80820
45.55653,-122.80820
45.55642,-122.80818
45.55636,-122.80816
45.55628,-122.80813
45.55617,-122.80813
45.55612,-122.80812
45.55603,-122.80809
45.55597,-122.80808
45.55588,-122.80806
45.55570,-122.80809
45.55569,-122.80798
45.55566,-122.80785
45.55564,-122.80773
45.55562,-122.80762
45.55559,-122.80749
45.55554,-122.80734
45.55549,-122.80719
45.55539,-122.80695
45.55531,-122.80679
45.55523,-122.80665
45.55494,-122.80630
45.55482,-122.80612
45.55479,-122.80607
45.55475,-122.80595
45.55472,-122.80578
45.55471,-122.80557
45.55477,-122.80486
45.55478,-122.80476
45.55479,-122.80464
45.55482,-122.80432
45.55483,-122.80418
45.55483,-122.80404
45.55481,-122.80390
45.55477,-122.80376
45.55472,-122.80360
45.55468,-122.80350
45.55463,-122.80336
45.55459,-122.80327
45.55457,-122.80323
45.55454,-122.80315
45.55440,-122.80282
45.55432,-122.80261
45.55429,-122.80250
45.55425,-122.80238
45.55424,-122.80232
45.55423,-122.80225
45.55421,-122.80218
45.55421,-122.80214
45.55420,-122.80204
45.55419,-122.80191
45.55419,-122.80163
45.55419,-122.80157
45.55419,-122.80104
45.55418,-122.80021
45.55418,-122.80003
45.55418,-122.79983
45.55418,-122.79965
45.55418,-122.79936
45.55418,-122.79859
45.55418,-122.79854
45.55418,-122.79845
45.55417,-122.79756
45.55417,-122.79742
45.55417,-122.79733
45.55417,-122.79721
45.55417,-122.79707
45.55416,-122.79687
45.55415,-122.79673
45.55414,-122.79665
45.55413,-122.79658
45.55412,-122.79655
45.55410,-122.79649
45.55408,-122.79643
45.55406,-122.79638
45.55404,-122.79634
45.55401,-122.79628
45.55397,-122.79623
45.55391,-122.79617
45.55384,-122.79612
45.55377,-122.79609
45.55369,-122.79607
45.55358,-122.79606
45.55346,-122.79606
45.55286,-122.79605
45.55282,-122.79605
45.55278,-122.79605
45.55233,-122.79605
45.55217,-122.79606
45.55206,-122.79605
45.55195,-122.79603
45.55188,-122.79600
45.55181,-122.79597
45.55173,-122.79592
45.55169,-122.79589
45.55164,-122.79583
45.55159,-122.79578
45.55148,-122.79562
45.55125,-122.79533
45.55118,-122.79524
45.55110,-122.79514
45.55080,-122.79475
45.55071,-122.79462
45.55065,-122.79455
45.55036,-122.79417
45.55022,-122.79397
45.55017,-122.79390
45.55013,-122.79382
45.55010,-122.79375
45.55006,-122.79365
45.55004,-122.79357
45.55001,-122.79347
45.54998,-122.79333
45.54994,-122.79309
45.54992,-122.79296
45.54991,-122.79283
45.54990,-122.79271
45.54990,-122.79260
45.54990,-122.79249
45.54991,-122.79238
45.54992,-122.79227
45.54993,-122.79215
45.54999,-122.79169
45.55007,-122.79109
45.55008,-122.79097
45.55008,-122.79086
45.55009,-122.79079
45.55008,-122.79072
45.55007,-122.79062
45.55004,-122.79051
45.55001,-122.79042
45.54994,-122.79025
45.54987,-122.79008
45.54982,-122.78997
45.54957,-122.78940
45.54927,-122.78875
45.54911,-122.78840
45.54870,-122.78748
45.54864,-122.78735
45.54860,-122.78724
45.54857,-122.78714
45.54854,-122.78700
45.54852,-122.78691
45.54851,-122.78681
45.54850,-122.78664
45.54850,-122.78642
45.54850,-122.78631
45.54850,-122.78600
45.54851,-122.78546
45.54850,-122.78525
45.54848,-122.78510
45.54844,-122.78496
45.54842,-122.78492
45.54836,-122.78476
45.54827,-122.78463
45.54815,-122.78451
45.54799,-122.78436
45.54765,-122.78410
45.54732,-122.78384
45.54715,-122.78370
45.54692,-122.78348
45.54683,-122.78337
45.54674,-122.78321
45.54670,-122.78311
45.54667,-122.78299
45.54664,-122.78285
45.54693,-122.78280
45.54700,-122.78278
45.54711,-122.78275
45.54721,-122.78270
45.54733,-122.78260
45.54743,-122.78246
45.54749,-122.78234
45.54753,-122.78222
45.54757,-122.78201
45.54757,-122.78186
45.54757,-122.78178
45.54754,-122.78162
45.54749,-122.78148
45.54740,-122.78130
45.54720,-122.78101
45.54716,-122.78093
45.54714,-122.78087
45.54711,-122.78076
45.54709,-122.78063
45.54710,-122.78043
45.54712,-122.78033
45.54716,-122.78020
45.54723,-122.78008
45.54733,-122.77998
45.54748,-122.77989
45.54774,-122.77983
45.54791,-122.77980
45.54811,-122.77976
45.54820,-122.77971
45.54829,-122.77964
45.54839,-122.77952
45.54843,-122.77946
45.54847,-122.77938
45.54850,-122.77930
45.54852,-122.77919
45.54854,-122.77907
45.54855,-122.77899
45.54855,-122.77890
45.54852,-122.77849
45.54852,-122.77839
45.54852,-122.77829
45.54853,-122.77822
45.54854,-122.77816
45.54855,-122.77810
45.54856,-122.77804
45.54860,-122.77793
45.54877,-122.77738
45.54894,-122.77689
45.54896,-122.77680
45.54899,-122.77669
45.54899,-122.77663
45.54900,-122.77656
45.54900,-122.77649
45.54900,-122.77642
45.54900,-122.77635
45.54899,-122.77627
45.54898,-122.77620
45.54896,-122.77613
45.54893,-122.77604
45.54891,-122.77599
45.54889,-122.77593
45.54886,-122.77589
45.54878,-122.77571
45.54874,-122.77561
45.54872,-122.77555
45.54870,-122.77547
45.54869,-122.77540
45.54867,-122.77528
45.54866,-122.77516
45.54866,-122.77505
45.54865,-122.77485
45.54863,-122.77472
45.54860,-122.77459
45.54857,-122.77451
45.54853,-122.77445
45.54850,-122.77440
45.54846,-122.77435
45.54837,-122.77427
45.54832,-122.77424
45.54827,-122.77422
45.54817,-122.77420
45.54807,-122.77418
45.54801,-122.77417
45.54796,-122.77415
45.54792,-122.77412
45.54786,-122.77408
45.54783,-122.77405
45.54778,-122.77399
45.54773,-122.77391
45.54771,-122.77386
45.54769,-122.77383
45.54767,-122.77377
45.54765,-122.77371
45.54762,-122.77359
45.54760,-122.77351
45.54759,-122.77337
45.54756,-122.77325
45.54754,-122.77316
45.54751,-122.77309
45.54749,-122.77304
45.54746,-122.77300
45.54743,-122.77295
45.54737,-122.77289
45.54731,-122.77283
45.54725,-122.77278
45.54719,-122.77274
45.54714,-122.77272
45.54708,-122.77271
45.54702,-122.77271
45.54689,-122.77271
45.54685,-122.77271
45.54682,-122.77270
45.54674,-122.77269
45.54666,-122.77267
45.54659,-122.77262
45.54654,-122.77256
45.54648,-122.77250
45.54644,-122.77245
45.54641,-122.77240
45.54638,-122.77233
45.54635,-122.77226
45.54632,-122.77215
45.54630,-122.77204
45.54629,-122.77193
45.54630,-122.77183
45.54631,-122.77173
45.54633,-122.77163
45.54637,-122.77151
45.54643,-122.77139
45.54652,-122.77122
45.54655,-122.77114
45.54658,-122.77107
45.54660,-122.77100
45.54661,-122.77092
45.54662,-122.77084
45.54661,-122.77076
45.54660,-122.77069
45.54659,-122.77063
45.54655,-122.77053
45.54652,-122.77047
45.54648,-122.77041
45.54644,-122.77037
45.54639,-122.77033
45.54634,-122.77030
45.54624,-122.77026
45.54608,-122.77021
45.54599,-122.77017
45.54591,-122.77012
45.54584,-122.77005
45.54579,-122.76998
45.54572,-122.76988
45.54568,-122.76979
45.54565,-122.76968
