lat,lon
48.07068,-123.91582
48.07062,-123.91610
48.07059,-123.91696
48.07054,-123.91737
48.07043,-123.91776
48.07030,-123.91806
48.07013,-123.91848
48.06979,-123.91938
48.06953,-123.91996
48.06949,-123.92002
48.06941,-123.92015
48.06920,-123.92027
48.06873,-123.92047
48.06818,-123.91833
48.06812,-123.91807
48.06782,-123.91689
48.06770,-123.91647
48.06761,-123.91616
48.06736,-123.91546
48.06710,-123.91484
48.06640,-123.91352
48.06611,-123.91306
48.06579,-123.91266
48.06556,-123.91236
48.06514,-123.91179
48.06470,-123.91113
48.06444,-123.91055
48.06349,-123.90895
48.06334,-123.90872
48.06304,-123.90828
48.06284,-123.90792
48.06233,-123.90656
48.06208,-123.90584
48.06195,-123.90545
48.06182,-123.90491
48.06175,-123.90444
48.06172,-123.90406
48.06169,-123.90379
48.06162,-123.90350
48.06147,-123.90311
48.06135,-123.90279
48.06130,-123.90246
48.06129,-123.90218
48.06130,-123.90188
48.06133,-123.90143
48.06130,-123.90114
48.06125,-123.90085
48.06104,-123.90022
48.06097,-123.89992
48.06096,-123.89957
48.06101,-123.89911
48.06105,-123.89876
48.06104,-123.89847
48.06101,-123.89821
48.06096,-123.89790
48.06085,-123.89749
48.06067,-123.89707
48.06037,-123.89669
48.06027,-123.89651
48.06017,-123.89628
48.06009,-123.89583
48.06003,-123.89530
48.05994,-123.89472
48.05982,-123.89428
48.05968,-123.89391
48.05955,-123.89365
48.05941,-123.89344
48.05927,-123.89329
48.05916,-123.89311
48.05905,-123.89286
48.05892,-123.89243
48.05883,-123.89198
48.05873,-123.89124
48.05864,-123.89048
48.05862,-123.88990
48.05871,-123.88918
48.05875,-123.88876
48.05876,-123.88801
48.05879,-123.88762
48.05889,-123.88686
48.05901,-123.88597
48.05902,-123.88560
48.05900,-123.88532
48.05894,-123.88505
48.05880,-123.88473
48.05850,-123.88411
48.05837,-123.88389
48.05823,-123.88365
48.05802,-123.88345
48.05776,-123.88330
48.05743,-123.88312
48.05724,-123.88300
48.05711,-123.88285
48.05701,-123.88265
48.05691,-123.88244
48.05680,-123.88226
48.05670,-123.88217
48.05654,-123.88206
48.05634,-123.88195
48.05618,-123.88177
48.05579,-123.88117
48.05547,-123.88059
48.05530,-123.88020
48.05524,-123.87995
48.05520,-123.87970
48.05521,-123.87947
48.05525,-123.87920
48.05531,-123.87885
48.05534,-123.87842
48.05532,-123.87805
48.05527,-123.87771
48.05513,-123.87702
48.05502,-123.87645
48.05490,-123.87609
48.05473,-123.87582
48.05452,-123.87561
48.05430,-123.87546
48.05405,-123.87536
48.05372,-123.87517
48.05339,-123.87485
48.05307,-123.87454
48.05284,-123.87423
48.05269,-123.87396
48.05252,-123.87353
48.05240,-123.87307
48.05232,-123.87266
48.05228,-123.87236
48.05227,-123.87206
48.05232,-123.87091
48.05235,-123.87046
48.05238,-123.86990
48.05239,-123.86934
48.05233,-123.86887
48.05225,-123.86852
48.05213,-123.86800
48.05194,-123.86735
48.05182,-123.86706
48.05172,-123.86685
48.05129,-123.86607
48.05119,-123.86588
48.05113,-123.86562
48.05089,-123.86459
48.05062,-123.86351
48.05045,-123.86274
48.05031,-123.86221
48.05018,-123.86180
48.05006,-123.86145
48.04998,-123.86111
48.04994,-123.86081
48.04993,-123.86052
48.04989,-123.86024
48.04975,-123.85984
48.04958,-123.85939
48.04947,-123.85896
48.04940,-123.85849
48.04933,-123.85796
48.04928,-123.85704
48.04921,-123.85636
48.04903,-123.85553
48.04892,-123.85488
48.04892,-123.85460
48.04895,-123.85438
48.04901,-123.85413
48.04911,-123.85388
48.04931,-123.85347
48.04941,-123.85314
48.04949,-123.85277
48.04951,-123.85240
48.04953,-123.85113
48.04953,-123.85057
48.04950,-123.85003
48.04945,-123.84952
48.04937,-123.84902
48.04928,-123.84853
48.04915,-123.84810
48.04896,-123.84755
48.04879,-123.84708
48.04871,-123.84677
48.04869,-123.84646
48.04868,-123.84622
48.04870,-123.84595
48.04876,-123.84560
48.04895,-123.84482
48.04915,-123.84415
48.04926,-123.84372
48.04936,-123.84348
48.04953,-123.84316
48.04967,-123.84294
48.04980,-123.84283
48.04999,-123.84272
48.05020,-123.84261
48.05047,-123.84250
48.05060,-123.84241
48.05073,-123.84230
48.05095,-123.84206
48.05114,-123.84182
48.05128,-123.84156
48.05137,-123.84136
48.05144,-123.84112
48.05150,-123.84080
48.05154,-123.84057
48.05154,-123.84031
48.05154,-123.84005
48.05148,-123.83971
48.05141,-123.83948
48.05134,-123.83921
48.05130,-123.83895
48.05128,-123.83866
48.05131,-123.83835
48.05138,-123.83802
48.05148,-123.83763
48.05159,-123.83733
48.05186,-123.83673
48.05192,-123.83653
48.05196,-123.83630
48.05199,-123.83598
48.05200,-123.83553
48.05200,-123.83482
48.05192,-123.83372
48.05188,-123.83312
48.05188,-123.83275
48.05192,-123.83235
48.05200,-123.83201
48.05209,-123.83166
48.05216,-123.83133
48.05219,-123.83110
48.05220,-123.83085
48.05219,-123.83055
48.05214,-123.82998
48.05210,-123.82925
48.05210,-123.82876
48.05213,-123.82823
