lat,lon
42.41099,-124.42035
42.41099,-124.42037
42.41099,-124.42048
42.41135,-124.42050
42.41168,-124.42053
42.41215,-124.42057
42.41245,-124.42059
42.41255,-124.42060
42.41311,-124.42065
42.41317,-124.42066
42.41377,-124.42069
42.41448,-124.42074
42.41480,-124.42072
42.41509,-124.42066
42.41539,-124.42053
42.41573,-124.42036
42.41675,-124.41979
42.41730,-124.41952
42.41781,-124.41923
42.41822,-124.41902
42.41874,-124.41872
42.41909,-124.41850
42.41938,-124.41829
42.42011,-124.41778
42.42121,-124.41709
42.42148,-124.41695
42.42157,-124.41690
42.42175,-124.41680
42.42202,-124.41657
42.42228,-124.41634
42.42245,-124.41614
42.42258,-124.41598
42.42280,-124.41562
42.42299,-124.41528
42.42316,-124.41487
42.42329,-124.41449
42.42347,-124.41406
42.42359,-124.41381
42.42374,-124.41361
42.42395,-124.41345
42.42419,-124.41334
42.42431,-124.41331
42.42457,-124.41329
42.42908,-124.41323
42.42932,-124.41324
42.42950,-124.41331
42.42959,-124.41336
42.42967,-124.41342
42.42970,-124.41345
42.42979,-124.41354
42.42998,-124.41384
42.43003,-124.41391
42.43006,-124.41398
42.43010,-124.41406
42.43013,-124.41415
42.43016,-124.41424
42.43019,-124.41437
42.43021,-124.41450
42.43023,-124.41464
42.43024,-124.41478
42.43026,-124.41524
42.43033,-124.41779
42.43033,-124.41811
42.43032,-124.41847
42.43030,-124.41881
42.43028,-124.41899
42.43026,-124.41917
42.43023,-124.41936
42.43019,-124.41954
42.43005,-124.42018
42.42988,-124.42090
42.42971,-124.42160
42.42933,-124.42323
42.42910,-124.42415
42.42897,-124.42472
42.42890,-124.42513
42.42886,-124.42541
42.42883,-124.42566
42.42882,-124.42594
42.42881,-124.42611
42.42881,-124.42627
42.42882,-124.42656
42.42885,-124.42691
42.42889,-124.42716
42.42892,-124.42735
42.42896,-124.42755
42.42902,-124.42781
42.42912,-124.42815
42.42924,-124.42847
42.42934,-124.42869
42.42941,-124.42884
42.42948,-124.42898
42.42961,-124.42921
42.42976,-124.42941
42.42995,-124.42967
42.43019,-124.42994
42.43037,-124.43012
42.43057,-124.43029
42.43075,-124.43041
42.43087,-124.43050
42.43111,-124.43062
42.43136,-124.43074
42.43152,-124.43079
42.43167,-124.43084
42.43184,-124.43087
42.43195,-124.43089
42.43209,-124.43091
42.43226,-124.43092
42.43236,-124.43092
42.43253,-124.43091
42.43270,-124.43089
42.43287,-124.43085
42.43314,-124.43078
42.43332,-124.43072
42.43351,-124.43065
42.43364,-124.43060
42.43402,-124.43043
42.43428,-124.43032
42.43483,-124.43006
42.43530,-124.42985
42.43874,-124.42825
42.44413,-124.42583
42.44946,-124.42341
42.45327,-124.42168
42.45421,-124.42125
42.45706,-124.41999
42.45805,-124.41950
42.45861,-124.41931
42.45904,-124.41919
42.45934,-124.41909
42.45948,-124.41905
42.45998,-124.41891
42.46052,-124.41883
42.46091,-124.41876
42.46147,-124.41869
42.46207,-124.41867
42.46271,-124.41866
42.46516,-124.41859
42.46983,-124.41846
42.47549,-124.41834
42.47969,-124.41823
42.48095,-124.41809
42.48155,-124.41801
42.48195,-124.41793
42.48259,-124.41781
42.48300,-124.41772
42.48382,-124.41754
42.48479,-124.41728
42.48528,-124.41713
42.48584,-124.41695
42.48662,-124.41667
42.48727,-124.41642
42.48771,-124.41623
42.48812,-124.41607
42.48842,-124.41598
42.48886,-124.41581
42.48960,-124.41550
42.49026,-124.41522
42.49227,-124.41440
42.49304,-124.41411
42.49385,-124.41377
42.50167,-124.41060
42.50263,-124.41020
42.50317,-124.40999
42.50362,-124.40986
42.50422,-124.40971
42.50487,-124.40960
42.50538,-124.40955
42.50585,-124.40952
42.50634,-124.40955
42.50686,-124.40960
42.50734,-124.40968
42.50791,-124.40980
42.50946,-124.41013
42.51005,-124.41022
42.51058,-124.41031
42.51102,-124.41033
42.51139,-124.41034
42.51176,-124.41031
42.51204,-124.41028
42.51226,-124.41023
42.51248,-124.41017
42.51271,-124.41011
42.51294,-124.41002
42.51332,-124.40987
42.51439,-124.40939
42.51500,-124.40912
42.51525,-124.40901
42.51831,-124.40756
42.52613,-124.40395
42.53329,-124.40058
42.53537,-124.39959
42.53543,-124.39975
42.53545,-124.39979
42.53555,-124.39997
42.53605,-124.39974
42.53607,-124.39950
42.53607,-124.39928
42.53677,-124.39892
42.53900,-124.39790
42.53969,-124.39763
42.54029,-124.39740
42.54080,-124.39722
42.54130,-124.39706
42.54181,-124.39691
42.54235,-124.39676
42.54523,-124.39604
42.54641,-124.39574
42.54808,-124.39532
42.54917,-124.39503
42.54991,-124.39482
42.55044,-124.39461
42.55097,-124.39437
42.55142,-124.39415
42.55196,-124.39385
42.55250,-124.39351
42.55281,-124.39328
42.55312,-124.39304
42.55356,-124.39268
42.55404,-124.39229
42.55641,-124.39028
42.56168,-124.38581
42.56206,-124.38550
42.56244,-124.38521
42.56273,-124.38501
42.56299,-124.38487
42.56347,-124.38468
42.56363,-124.38464
42.56392,-124.38459
42.56412,-124.38457
42.56433,-124.38456
42.56453,-124.38456
42.56475,-124.38460
42.56493,-124.38462
42.56511,-124.38467
42.56529,-124.38473
42.56547,-124.38479
42.56586,-124.38496
42.56740,-124.38577
42.56788,-124.38603
42.56857,-124.38640
42.56921,-124.38674
42.56976,-124.38705
42.57004,-124.38720
42.57057,-124.38748
42.57108,-124.38773
42.57147,-124.38786
42.57168,-124.38793
42.57196,-124.38798
42.57231,-124.38800
42.57267,-124.38800
42.57321,-124.38797
42.57344,-124.38796
42.57366,-124.38798
42.57385,-124.38801
42.57406,-124.38809
42.57428,-124.38820
42.57448,-124.38836
42.57467,-124.38852
42.57485,-124.38871
42.57537,-124.38931
42.57558,-124.38952
42.57578,-124.38969
42.57601,-124.38983
42.57607,-124.38985
42.57626,-124.38993
42.57649,-124.38997
42.57695,-124.39000
42.57754,-124.39001
42.57774,-124.39004
42.57796,-124.39010
42.57846,-124.39029
42.57864,-124.39041
42.57885,-124.39057
42.57912,-124.39080
42.57939,-124.39110
42.57968,-124.39146
42.58001,-124.39183
42.58015,-124.39196
42.58029,-124.39206
42.58048,-124.39218
42.58067,-124.39226
42.58086,-124.39231
42.58105,-124.39234
42.58142,-124.39234
42.58176,-124.39230
42.58215,-124.39229
42.58234,-124.39229
42.58252,-124.39231
42.58334,-124.39254
42.58356,-124.39263
42.58362,-124.39266
42.58403,-124.39286
42.58436,-124.39301
42.58465,-124.39311
42.58499,-124.39314
42.58541,-124.39308
42.58582,-124.39296
42.58625,-124.39283
42.58662,-124.39274
42.58698,-124.39273
42.58731,-124.39278
42.58768,-124.39294
42.58805,-124.39315
42.58835,-124.39334
42.58870,-124.39355
42.58910,-124.39375
42.58946,-124.39392
42.59037,-124.39436
42.59079,-124.39461
42.59109,-124.39480
42.59134,-124.39500
42.59159,-124.39523
42.59179,-124.39549
42.59200,-124.39577
42.59222,-124.39607
42.59244,-124.39645
42.59260,-124.39671
42.59271,-124.39689
42.59291,-124.39724
42.59346,-124.39818
42.59368,-124.39852
42.59388,-124.39874
42.59412,-124.39894
42.59442,-124.39908
42.59472,-124.39913
42.59502,-124.39912
42.59518,-124.39908
42.59535,-124.39904
42.59571,-124.39891
42.59574,-124.39890
42.59599,-124.39881
42.59630,-124.39872
42.59636,-124.39870
42.59676,-124.39861
42.59713,-124.39856
42.59751,-124.39857
42.59794,-124.39861
42.59839,-124.39866
42.59889,-124.39875
42.59943,-124.39877
42.59977,-124.39871
42.60009,-124.39858
42.60038,-124.39841
42.60079,-124.39813
42.60146,-124.39763
