lon,lat
-122.4006600,37.6383480
-122.4007920,37.6386110
-122.4008490,37.6387090
-122.4008740,37.6387500
-122.4010230,37.6389980
-122.4011100,37.6391360
-122.4011340,37.6391720
-122.4011670,37.6392230
-122.4013400,37.6394840
-122.4014910,37.6397120
-122.4016140,37.6399020
-122.4018530,37.6403020
-122.4019800,37.6405140
-122.4022540,37.6409730
-122.4023760,37.6411760
-122.4024080,37.6412290
-122.4026090,37.6415630
-122.4027660,37.6418300
-122.4028570,37.6419840
-122.4029470,37.6421360
-122.4029620,37.6421610
-122.4030600,37.6423280
-122.4030710,37.6423440
-122.4031490,37.6424760
-122.4033150,37.6427490
-122.4034000,37.6428900
-122.4035360,37.6431130
-122.4035830,37.6431890
-122.4037630,37.6434930
-122.4038620,37.6436590
-122.4040160,37.6439190
-122.4041330,37.6441140
-122.4043070,37.6444110
-122.4045060,37.6447500
-122.4045140,37.6447630
-122.4047720,37.6451920
-122.4049840,37.6455480
-122.4051740,37.6458670
-122.4052080,37.6459400
-122.4052750,37.6460640
-122.4053300,37.6461860
-122.4053750,37.6463220
-122.4054100,37.6464660
-122.4054300,37.6465940
-122.4054430,37.6467600
-122.4055970,37.6468080
-122.4058670,37.6467900
-122.4059540,37.6467980
-122.4060250,37.6468210
-122.4060850,37.6468600
-122.4061340,37.6469130
-122.4061590,37.6469660
-122.4061820,37.6470570
-122.4062000,37.6471550
-122.4062210,37.6472800
-122.4062380,37.6474210
-122.4062590,37.6475470
-122.4062880,37.6476920
-122.4065090,37.6485460
-122.4065470,37.6489780
-122.4066240,37.6498280
-122.4066520,37.6501450
-122.4066760,37.6504200
-122.4067650,37.6514500
-122.4067990,37.6518530
-122.4068980,37.6529880
-122.4069080,37.6531150
-122.4069120,37.6531740
-122.4069190,37.6534470
-122.4069170,37.6537120
-122.4069080,37.6539790
-122.4068920,37.6542210
-122.4068650,37.6544640
-122.4068290,37.6547050
-122.4067810,37.6549740
-122.4067320,37.6552090
-122.4066710,37.6554810
-122.4066000,37.6557350
-122.4065180,37.6560030
-122.4064250,37.6562580
-122.4063180,37.6565030
-122.4061930,37.6567580
-122.4055560,37.6580000
-122.4053180,37.6584640
-122.4051890,37.6587040
-122.4050560,37.6589450
-122.4049170,37.6591740
-122.4047680,37.6593900
-122.4046030,37.6596140
-122.4044280,37.6598330
-122.4042060,37.6600810
-122.4039930,37.6603050
-122.4037720,37.6605160
-122.4035100,37.6607430
-122.4032670,37.6609360
-122.4030270,37.6611160
-122.4027620,37.6613010
-122.4025090,37.6614650
-122.3996910,37.6632720
-122.3994240,37.6634430
-122.3991720,37.6636090
-122.3989090,37.6637840
-122.3986570,37.6639550
-122.3984080,37.6641300
-122.3981710,37.6643100
-122.3979450,37.6644830
-122.3977010,37.6646780
-122.3974730,37.6648690
-122.3972570,37.6650550
-122.3970160,37.6652750
-122.3967980,37.6654780
-122.3965930,37.6656730
-122.3963930,37.6658760
-122.3961960,37.6660810
-122.3956050,37.6667120
-122.3946990,37.6676520
-122.3926020,37.6698360
-122.3924050,37.6700480
-122.3922160,37.6702610
-122.3920290,37.6704750
-122.3918440,37.6706960
-122.3916620,37.6709160
-122.3914840,37.6711380
-122.3913100,37.6713600
-122.3911400,37.6715830
-122.3909740,37.6718090
-122.3908120,37.6720370
-122.3906530,37.6722650
-122.3904980,37.6724960
-122.3903470,37.6727280
-122.3901980,37.6729660
-122.3900660,37.6731870
-122.3899960,37.6733020
-122.3899370,37.6734020
-122.3897980,37.6736420
-122.3896660,37.6738820
-122.3895340,37.6741230
-122.3894090,37.6743640
-122.3892860,37.6746100
-122.3891680,37.6748530
-122.3891300,37.6749350
-122.3890440,37.6751250
-122.3889350,37.6753720
-122.3888300,37.6756210
-122.3887290,37.6758720
-122.3886370,37.6761250
-122.3885550,37.6763800
-122.3884860,37.6766350
-122.3884260,37.6768940
-122.3883770,37.6771530
-122.3883390,37.6774130
-122.3883100,37.6776740
-122.3882920,37.6779360
-122.3882830,37.6782000
-122.3882850,37.6784630
-122.3882980,37.6787260
-122.3883200,37.6789870
-122.3883550,37.6792450
-122.3883980,37.6795050
-122.3884520,37.6797720
-122.3885120,37.6800320
-122.3885670,37.6802910
-122.3886710,37.6808120
-122.3887730,37.6813260
-122.3888790,37.6818450
-122.3889930,37.6823610
-122.3891090,37.6828740
-122.3904480,37.6888140
-122.3908560,37.6906190
-122.3914950,37.6934620
-122.3917870,37.6947660
-122.3925150,37.6979770
-122.3931530,37.7008090
-122.3938220,37.7037760
-122.3941710,37.7053230
-122.3942890,37.7058410
-122.3944060,37.7063550
-122.3945240,37.7068710
-122.3946400,37.7073880
-122.3947140,37.7077250
-122.3947540,37.7079000
-122.3948340,37.7082520
-122.3948850,37.7084810
-122.3949900,37.7089470
-122.3950960,37.7094230
-122.3952840,37.7102580
-122.3954020,37.7107720
-122.3954780,37.7111040
-122.3955070,37.7112240
-122.3955440,37.7113580
-122.3955830,37.7114910
-122.3956210,37.7116110
-122.3956690,37.7117450
-122.3957160,37.7118750
-122.3957630,37.7120020
-122.3958100,37.7121210
-122.3958620,37.7122440
-122.3959170,37.7123650
-122.3959780,37.7124930
-122.3960430,37.7126180
-122.3961110,37.7127390
-122.3961810,37.7128570
-122.3962550,37.7129790
-122.3963310,37.7130960
-122.3964100,37.7132130
-122.3964920,37.7133250
-122.3965770,37.7134390
-122.3966610,37.7135490
-122.3967510,37.7136610
-122.3968370,37.7137660
-122.3975840,37.7146570
-122.3977650,37.7148730
-122.3978540,37.7149820
-122.3979370,37.7150900
-122.3980240,37.7152060
-122.3981030,37.7153160
-122.3981800,37.7154310
-122.3982560,37.7155480
-122.3983280,37.7156640
-122.3983990,37.7157850
-122.3984710,37.7159130
-122.3985340,37.7160370
-122.3985920,37.7161530
-122.3986500,37.7162750
-122.3987080,37.7164030
-122.3987530,37.7165120
-122.3988030,37.7166390
-122.3988480,37.7167640
-122.3988930,37.7168920
-122.3989330,37.7170190
-122.3989690,37.7171460
-122.3990050,37.7172770
-122.3994490,37.7189490
-122.3994680,37.7190200
-122.3996570,37.7197200
-122.3998910,37.7204210
-122.3999900,37.7207290
-122.4000560,37.7209990
-122.4002710,37.7216360
-122.4004820,37.7221400
-122.4010450,37.7235020
-122.4012080,37.7239170
-122.4012220,37.7239620
-122.4015640,37.7249700
-122.4016100,37.7252490
-122.4016890,37.7255320
-122.4019130,37.7262030
-122.4024630,37.7278390
-122.4025190,37.7280070
-122.4027620,37.7286900
-122.4028690,37.7289270
-122.4030380,37.7293060
-122.4031630,37.7295570
-122.4032870,37.7298080
-122.4038260,37.7308310
-122.4039970,37.7311780
-122.4045730,37.7324780
-122.4048230,37.7329770
-122.4049110,37.7331900
-122.4049880,37.7334380
-122.4050190,37.7336270
-122.4050420,37.7338320
-122.4050490,37.7340320
-122.4050340,37.7342370
-122.4050060,37.7344330
-122.4049660,37.7346190
-122.4049080,37.7348150
-122.4048410,37.7349980
-122.4047500,37.7351900
-122.4046540,37.7353640
-122.4045380,37.7355410
-122.4044160,37.7357040
-122.4042510,37.7358840
-122.4040790,37.7360490
-122.4038950,37.7362080
-122.4036820,37.7363650
-122.4029160,37.7368740
-122.4026820,37.7370280
-122.4024350,37.7371960
-122.4021840,37.7373810
-122.4019520,37.7375820
-122.4017320,37.7377940
-122.4015300,37.7380000
-122.4012920,37.7382040
-122.4010500,37.7384230
-122.4008220,37.7386380
-122.4005990,37.7388610
-122.4003800,37.7390940
-122.4001150,37.7393890
-122.3997250,37.7398230
-122.3971490,37.7426750
-122.3964500,37.7434450
-122.3962400,37.7436520
-122.3960420,37.7438410
-122.3957900,37.7440650
-122.3955760,37.7442620
-122.3953640,37.7444640
-122.3951120,37.7447200
-122.3948840,37.7449610
-122.3946720,37.7452030
-122.3944900,37.7454270
-122.3943140,37.7456530
-122.3941420,37.7458840
-122.3939800,37.7461140
-122.3938230,37.7463480
-122.3936740,37.7465860
-122.3935350,37.7468270
-122.3918250,37.7498560
-122.3917120,37.7500870
-122.3916130,37.7503270
-122.3915230,37.7505750
-122.3914430,37.7508260
-122.3913710,37.7510870
-122.3913150,37.7513470
-122.3912720,37.7516170
-122.3912470,37.7518750
-122.3912310,37.7521460
-122.3912350,37.7524090
-122.3912510,37.7526680
-122.3912800,37.7529110
-122.3913270,37.7531730
-122.3913780,37.7534160
-122.3914510,37.7536810
-122.3915310,37.7539230
-122.3919080,37.7549650
-122.3919920,37.7552320
-122.3920590,37.7554900
-122.3921220,37.7557510
-122.3921720,37.7560190
-122.3922100,37.7562660
-122.3922370,37.7564910
-122.3922320,37.7567900
-122.3922200,37.7570090
-122.3922050,37.7573000
-122.3922040,37.7581400
-122.3922200,37.7589560
-122.3922240,37.7592340
-122.3922360,37.7595210
-122.3922510,37.7597980
-122.3922720,37.7600680
-122.3923590,37.7610580
-122.3922980,37.7613440
-122.3922980,37.7620750
-122.3923020,37.7623150
-122.3923250,37.7625450
-122.3923420,37.7626930
-122.3924530,37.7635430
-122.3924810,37.7637980
-122.3924890,37.7639930
-122.3924880,37.7641170
-122.3926220,37.7641070
-122.3931040,37.7640750
-122.3931810,37.7640700
-122.3936290,37.7640410
-122.3937570,37.7640350
-122.3937470,37.7639520
-122.3936730,37.7632950
-122.3936320,37.7628600
-122.3936310,37.7628470
-122.3936220,37.7627560
-122.3937780,37.7627460
-122.3946250,37.7627040
-122.3955720,37.7626370
-122.3965370,37.7625800
-122.3966590,37.7638480
-122.3967720,37.7650270
-122.3967820,37.7651300
-122.3969050,37.7664410
-122.3968060,37.7664480
-122.3965330,37.7664680
-122.3962950,37.7664850
-122.3958990,37.7665060
-122.3958340,37.7665100
-122.3952770,37.7665440
-122.3950870,37.7665530
-122.3952330,37.7666650
-122.3957060,37.7670220
-122.3957720,37.7670750
-122.3958000,37.7670980
-122.3959370,37.7672080
-122.3960460,37.7672960
-122.3967200,37.7678380
-122.3974570,37.7684310
-122.3982160,37.7690450
-122.3984420,37.7692220
-122.3984890,37.7692600
-122.3986480,37.7693830
-122.3987940,37.7695010
-122.3989680,37.7696380
-122.3991830,37.7698130
-122.3993390,37.7699380
-122.3994840,37.7700560
-122.3995670,37.7701240
-122.4000190,37.7704900
-122.4001620,37.7706070
-122.4003600,37.7707690
-122.4007490,37.7710850
-122.4008150,37.7711380
-122.4009150,37.7712170
-122.4013810,37.7715910
-122.4015640,37.7717370
-122.4015800,37.7717510
-122.4016190,37.7717820
-122.4016820,37.7718330
-122.4017740,37.7719030
-122.4019490,37.7720430
-122.4022040,37.7722450
-122.4025100,37.7724890
-122.4028650,37.7727730
-122.4031380,37.7729900
-122.4032330,37.7730670
-122.4033380,37.7729910
-122.4037300,37.7726830
-122.4038010,37.7726240
-122.4040290,37.7724290
-122.4048100,37.7718080
-122.4051650,37.7715250
-122.4053590,37.7713710
-122.4053670,37.7713650
-122.4054460,37.7713030
-122.4055440,37.7712260
-122.4059570,37.7709020
-122.4063020,37.7706310
-122.4064680,37.7704950
-122.4068630,37.7701790
-122.4069080,37.7701420
-122.4069980,37.7700700
-122.4070930,37.7701460
-122.4074980,37.7704700
-122.4082320,37.7710570
-122.4085360,37.7713010
-122.4082720,37.7715110
-122.4081740,37.7715870
-122.4078550,37.7718400
-122.4078260,37.7718630
-122.4075120,37.7721120
-122.4071990,37.7723590
-122.4071190,37.7724230
