lat,lon
38.04203,-122.79923
38.04212,-122.79905
38.04225,-122.79877
38.04243,-122.79853
38.04263,-122.79839
38.04314,-122.79830
38.04339,-122.79827
38.04364,-122.79823
38.04383,-122.79810
38.04398,-122.79792
38.04382,-122.79776
38.04335,-122.79714
38.04317,-122.79685
38.04309,-122.79672
38.04303,-122.79655
38.04291,-122.79621
38.04284,-122.79590
38.04282,-122.79561
38.04281,-122.79515
38.04281,-122.79479
38.04279,-122.79454
38.04274,-122.79422
38.04263,-122.79387
38.04212,-122.79267
38.04201,-122.79223
38.04193,-122.79178
38.04188,-122.79104
38.04187,-122.79039
38.04190,-122.78981
38.04192,-122.78955
38.04193,-122.78933
38.04195,-122.78913
38.04199,-122.78880
38.04235,-122.78887
38.04270,-122.78890
38.04295,-122.78890
38.04330,-122.78884
38.04348,-122.78885
38.04363,-122.78887
38.04376,-122.78891
38.04391,-122.78899
38.04404,-122.78910
38.04419,-122.78925
38.04431,-122.78941
38.04455,-122.78979
38.04465,-122.78991
38.04469,-122.78995
38.04479,-122.79006
38.04496,-122.79022
38.04516,-122.79041
38.04532,-122.79054
38.04646,-122.79148
38.04662,-122.79164
38.04679,-122.79184
38.04693,-122.79203
38.04706,-122.79217
38.04717,-122.79226
38.04731,-122.79234
38.04742,-122.79238
38.04756,-122.79242
38.04861,-122.79253
38.04886,-122.79260
38.04905,-122.79266
38.04924,-122.79277
38.04956,-122.79296
38.05035,-122.79344
38.05114,-122.79392
38.05147,-122.79407
38.05187,-122.79425
38.05213,-122.79437
38.05227,-122.79444
38.05241,-122.79457
38.05248,-122.79464
38.05256,-122.79475
38.05352,-122.79644
38.05382,-122.79689
38.05399,-122.79712
38.05424,-122.79747
38.05436,-122.79761
38.05454,-122.79778
38.05489,-122.79804
38.05507,-122.79816
38.05523,-122.79823
38.05541,-122.79829
38.05645,-122.79857
38.05692,-122.79871
38.05711,-122.79879
38.05729,-122.79890
38.05744,-122.79903
38.05756,-122.79915
38.05763,-122.79924
38.05769,-122.79933
38.05775,-122.79943
38.05780,-122.79955
38.05792,-122.79987
