lat,lon
47.35550,-123.15990
47.35455,-123.16029
47.35372,-123.16059
47.35316,-123.16079
47.35281,-123.16082
47.35276,-123.16081
47.35244,-123.16079
47.35137,-123.16069
47.35050,-123.16074
47.34984,-123.16086
47.34852,-123.16118
47.34813,-123.16123
47.34771,-123.16124
47.34692,-123.16131
47.34647,-123.16132
47.34638,-123.16132
47.34619,-123.16132
47.34610,-123.16132
47.34558,-123.16129
47.34520,-123.16126
47.34466,-123.16126
47.34349,-123.16122
47.34248,-123.16119
47.34231,-123.16118
47.34227,-123.16118
47.34071,-123.16111
47.34066,-123.16111
47.34040,-123.16111
47.33905,-123.16107
47.33875,-123.16106
47.33840,-123.16105
47.33809,-123.16104
47.33726,-123.16101
47.33679,-123.16099
47.33637,-123.16097
47.33587,-123.16095
47.33512,-123.16093
47.33494,-123.16093
47.33462,-123.16097
47.33429,-123.16112
47.33386,-123.16134
47.33279,-123.16200
47.33109,-123.16299
47.32885,-123.16437
47.32762,-123.16513
47.32706,-123.16544
47.32661,-123.16562
47.32604,-123.16582
47.32488,-123.16618
47.32415,-123.16642
47.32340,-123.16679
47.32286,-123.16720
47.32136,-123.16836
47.32046,-123.16913
47.31938,-123.17030
47.31779,-123.17198
47.31757,-123.17218
47.31707,-123.17265
47.31668,-123.17298
47.31634,-123.17326
47.31525,-123.17403
47.31481,-123.17431
47.31432,-123.17457
47.31329,-123.17510
47.31300,-123.17524
47.31260,-123.17545
47.31228,-123.17561
47.31198,-123.17576
47.31129,-123.17611
47.31060,-123.17645
47.30955,-123.17696
47.30935,-123.17706
47.30869,-123.17740
47.30608,-123.17871
47.30586,-123.17883
47.30560,-123.17897
47.30523,-123.17915
47.30474,-123.17941
47.30375,-123.18004
47.30317,-123.18036
47.30270,-123.18057
47.30171,-123.18097
47.30107,-123.18122
47.30044,-123.18139
47.29997,-123.18148
47.29955,-123.18149
47.29886,-123.18148
47.29849,-123.18143
47.29808,-123.18137
47.29732,-123.18118
47.29666,-123.18099
47.29635,-123.18090
47.29600,-123.18078
47.29550,-123.18057
