lon,lat
-124.0578840,46.2841920
-124.0578240,46.2841460
-124.0577270,46.2840330
-124.0577030,46.2839510
-124.0577080,46.2838640
-124.0578390,46.2837060
-124.0581500,46.2837830
-124.0581810,46.2835920
-124.0582550,46.2831250
-124.0583070,46.2827970
-124.0580000,46.2827240
-124.0578130,46.2826920
-124.0575750,46.2826970
-124.0572930,46.2827630
-124.0570990,46.2828350
-124.0570220,46.2828700
-124.0566930,46.2828890
-124.0566320,46.2829030
-124.0565470,46.2829340
-124.0559480,46.2832060
-124.0558360,46.2832560
-124.0557750,46.2832950
-124.0556750,46.2833690
-124.0554150,46.2835810
-124.0546420,46.2839040
-124.0547190,46.2844130
-124.0547650,46.2845530
-124.0548710,46.2847160
-124.0550970,46.2848750
-124.0556640,46.2851280
-124.0558810,46.2852330
-124.0559780,46.2853040
-124.0560320,46.2853480
-124.0560820,46.2854230
-124.0561020,46.2854520
-124.0561220,46.2855070
-124.0561310,46.2855560
-124.0561370,46.2856120
-124.0561070,46.2857320
-124.0559780,46.2861750
-124.0559690,46.2865070
-124.0559170,46.2869000
-124.0555340,46.2875770
-124.0553830,46.2879950
-124.0553880,46.2881020
-124.0554390,46.2882590
-124.0555320,46.2884070
-124.0559900,46.2890120
-124.0560390,46.2891080
-124.0560930,46.2892350
-124.0561330,46.2893770
-124.0562960,46.2899400
-124.0562600,46.2900430
-124.0562280,46.2900980
-124.0561970,46.2901500
-124.0561360,46.2902100
-124.0560530,46.2902780
-124.0558360,46.2904040
-124.0552350,46.2907600
-124.0550630,46.2908910
-124.0549980,46.2909790
-124.0549600,46.2910720
-124.0549250,46.2911700
-124.0549060,46.2912460
-124.0548980,46.2913260
-124.0549050,46.2915210
-124.0549300,46.2918890
-124.0549180,46.2920880
-124.0549050,46.2921920
-124.0548750,46.2922930
-124.0548080,46.2924590
-124.0546780,46.2926850
-124.0545250,46.2929150
-124.0542900,46.2932780
-124.0541210,46.2935530
-124.0540220,46.2936950
-124.0539160,46.2938480
-124.0538240,46.2939440
-124.0537230,46.2940380
-124.0535600,46.2941750
-124.0530010,46.2946340
-124.0526320,46.2949300
-124.0523030,46.2951930
-124.0521280,46.2953280
-124.0519570,46.2954600
-124.0517980,46.2955850
-124.0516750,46.2956960
-124.0515850,46.2957980
-124.0515100,46.2958970
-124.0514830,46.2959890
-124.0514720,46.2960870
-124.0514920,46.2962140
-124.0515360,46.2963070
-124.0515840,46.2963630
-124.0516310,46.2964090
-124.0517630,46.2964960
-124.0519190,46.2965610
-124.0521990,46.2966400
-124.0524950,46.2967260
-124.0526350,46.2967820
-124.0526890,46.2968330
-124.0527280,46.2968990
-124.0527520,46.2969500
-124.0527660,46.2970330
-124.0527520,46.2971370
-124.0527210,46.2972660
-124.0526070,46.2975580
-124.0523040,46.2981280
-124.0519800,46.2986210
-124.0518760,46.2987670
-124.0518450,46.2988350
-124.0518350,46.2988710
-124.0518300,46.2989100
-124.0518330,46.2989810
-124.0518580,46.2990580
-124.0519000,46.2991790
-124.0519350,46.2992730
-124.0520360,46.2995570
-124.0520460,46.2995870
-124.0520460,46.2996230
-124.0520280,46.2996800
-124.0519800,46.2997300
-124.0518980,46.2997710
-124.0518240,46.2997880
-124.0517450,46.2997930
-124.0516800,46.2997840
-124.0516160,46.2997650
-124.0514230,46.2996800
-124.0512730,46.2996260
-124.0512130,46.2996120
-124.0511480,46.2996060
-124.0510810,46.2996080
-124.0510120,46.2996170
-124.0509530,46.2996300
-124.0508930,46.2996530
-124.0508090,46.2997010
-124.0507270,46.2997930
-124.0506720,46.2999360
-124.0506580,46.3000050
-124.0506380,46.3000760
-124.0506140,46.3001420
-124.0505780,46.3002010
-124.0505050,46.3002760
-124.0503990,46.3003440
-124.0502930,46.3003860
-124.0501200,46.3004300
-124.0499370,46.3004630
-124.0497460,46.3004800
-124.0496550,46.3004920
-124.0495780,46.3005140
-124.0494600,46.3005570
-124.0493500,46.3006300
-124.0492610,46.3006990
-124.0491990,46.3007830
-124.0491430,46.3009230
-124.0490900,46.3011860
-124.0490540,46.3013250
-124.0490340,46.3013810
-124.0490020,46.3014300
-124.0489230,46.3015220
-124.0488190,46.3016120
-124.0485810,46.3017670
-124.0483360,46.3019020
-124.0481070,46.3020400
-124.0477810,46.3022170
-124.0475120,46.3023610
-124.0473950,46.3024200
-124.0472700,46.3024720
-124.0471890,46.3025040
-124.0471060,46.3025290
-124.0470200,46.3025510
-124.0469330,46.3025670
-124.0467930,46.3025840
-124.0466550,46.3025860
-124.0465350,46.3025760
-124.0464120,46.3025540
-124.0460990,46.3024740
-124.0459970,46.3024500
-124.0458920,46.3024330
-124.0457240,46.3024250
-124.0456350,46.3024270
-124.0455440,46.3024410
-124.0454470,46.3024560
-124.0453490,46.3024840
-124.0452010,46.3025360
-124.0448800,46.3026810
-124.0445680,46.3028220
-124.0442640,46.3029620
-124.0440820,46.3030430
-124.0439060,46.3031290
-124.0438160,46.3031950
-124.0437820,46.3032320
-124.0437510,46.3032730
-124.0437130,46.3033480
-124.0436670,46.3036250
-124.0436570,46.3036830
-124.0436300,46.3038520
-124.0436040,46.3040120
-124.0435990,46.3040860
-124.0436020,46.3041620
-124.0436140,46.3042220
-124.0436370,46.3042760
-124.0436810,46.3043530
-124.0437670,46.3044390
-124.0438800,46.3045140
-124.0440950,46.3046030
-124.0442900,46.3046690
-124.0443850,46.3047060
-124.0444700,46.3047480
-124.0445540,46.3047980
-124.0445880,46.3048220
-124.0446190,46.3048520
-124.0446620,46.3049110
-124.0446960,46.3049900
-124.0447120,46.3050410
-124.0447180,46.3050940
-124.0447260,46.3052630
-124.0447210,46.3053600
-124.0447100,46.3056610
-124.0447080,46.3059850
-124.0447200,46.3066930
-124.0447270,46.3074220
-124.0447220,46.3081340
-124.0447200,46.3086090
-124.0447190,46.3087120
-124.0447190,46.3088630
-124.0440580,46.3088610
-124.0436760,46.3088600
-124.0435200,46.3088600
-124.0433720,46.3088590
-124.0432600,46.3088590
-124.0415060,46.3088580
-124.0404690,46.3088540
-124.0398410,46.3088550
-124.0397940,46.3088550
-124.0389820,46.3088530
-124.0389120,46.3088530
-124.0380080,46.3088490
-124.0379440,46.3088490
-124.0369300,46.3088510
-124.0359120,46.3088450
-124.0358160,46.3088450
-124.0348710,46.3088450
-124.0345160,46.3088450
-124.0343710,46.3088560
-124.0342740,46.3088740
-124.0341300,46.3089530
-124.0339420,46.3091010
-124.0337980,46.3092300
-124.0336820,46.3093580
-124.0334200,46.3095670
-124.0327210,46.3100290
-124.0321880,46.3103850
-124.0319420,46.3105230
-124.0317380,46.3105890
-124.0314690,46.3106490
-124.0307060,46.3107240
-124.0298690,46.3108180
-124.0295660,46.3108570
-124.0292410,46.3109190
-124.0290040,46.3109750
-124.0283580,46.3112250
-124.0282390,46.3112850
-124.0264380,46.3122030
-124.0260820,46.3123890
-124.0257270,46.3125870
-124.0255380,46.3126950
-124.0252670,46.3129500
-124.0250060,46.3133500
-124.0248000,46.3136240
-124.0246610,46.3137960
-124.0241330,46.3144480
-124.0232990,46.3155020
-124.0226900,46.3162930
-124.0221470,46.3169690
-124.0219950,46.3171420
-124.0218690,46.3172720
-124.0216920,46.3174490
-124.0215410,46.3175990
-124.0212020,46.3178450
-124.0209340,46.3180030
-124.0207250,46.3181110
-124.0205120,46.3182030
-124.0202930,46.3182980
-124.0199700,46.3184270
-124.0195690,46.3185590
-124.0183440,46.3189830
-124.0171320,46.3193880
-124.0146660,46.3202400
