lon,lat
-123.9158160,48.0706850
-123.9161040,48.0706180
-123.9169590,48.0705860
-123.9173720,48.0705390
-123.9177640,48.0704280
-123.9180630,48.0703020
-123.9184830,48.0701260
-123.9193800,48.0697950
-123.9199600,48.0695320
-123.9200210,48.0694930
-123.9201490,48.0694090
-123.9202660,48.0692010
-123.9204740,48.0687280
-123.9183320,48.0681850
-123.9180680,48.0681180
-123.9168890,48.0678190
-123.9164670,48.0676960
-123.9161600,48.0676070
-123.9154650,48.0673600
-123.9148380,48.0670960
-123.9135160,48.0664020
-123.9130610,48.0661100
-123.9126580,48.0657940
-123.9123570,48.0655590
-123.9117910,48.0651400
-123.9111290,48.0647020
-123.9105470,48.0644350
-123.9089500,48.0634940
-123.9087170,48.0633350
-123.9082840,48.0630360
-123.9079200,48.0628400
-123.9065560,48.0623260
-123.9058430,48.0620770
-123.9054450,48.0619470
-123.9049060,48.0618160
-123.9044450,48.0617480
-123.9040610,48.0617170
-123.9037900,48.0616870
-123.9035010,48.0616170
-123.9031140,48.0614690
-123.9027920,48.0613550
-123.9024620,48.0613000
-123.9021780,48.0612910
-123.9018750,48.0613030
-123.9014310,48.0613260
-123.9011370,48.0613030
-123.9008530,48.0612490
-123.9002230,48.0610400
-123.8999220,48.0609680
-123.8995730,48.0609600
-123.8991130,48.0610060
-123.8987560,48.0610450
-123.8984730,48.0610430
-123.8982130,48.0610150
-123.8978950,48.0609570
-123.8974920,48.0608500
-123.8970710,48.0606660
-123.8966850,48.0603730
-123.8965110,48.0602690
-123.8962810,48.0601730
-123.8958270,48.0600870
-123.8953030,48.0600350
-123.8947190,48.0599370
-123.8942820,48.0598170
-123.8939090,48.0596770
-123.8936510,48.0595460
-123.8934400,48.0594120
-123.8932850,48.0592690
-123.8931070,48.0591610
-123.8928580,48.0590530
-123.8924310,48.0589170
-123.8919840,48.0588300
-123.8912430,48.0587270
-123.8904770,48.0586410
-123.8899050,48.0586250
-123.8891760,48.0587150
-123.8887550,48.0587530
-123.8880140,48.0587630
-123.8876230,48.0587900
-123.8868640,48.0588920
-123.8859730,48.0590090
-123.8856030,48.0590230
-123.8853210,48.0589960
-123.8850480,48.0589370
-123.8847290,48.0588020
-123.8841140,48.0585050
-123.8838890,48.0583740
-123.8836480,48.0582290
-123.8834470,48.0580180
-123.8832950,48.0577580
-123.8831220,48.0574280
-123.8830010,48.0572410
-123.8828540,48.0571100
-123.8826520,48.0570120
-123.8824380,48.0569100
-123.8822620,48.0568040
-123.8821700,48.0567020
-123.8820650,48.0565390
-123.8819530,48.0563410
-123.8817690,48.0561790
