lat,lng,field
37.97035,-122.79080,
37.97034,-122.79080,
37.97033,-122.79080,
37.97032,-122.79080,
37.97031,-122.79080,
37.97029,-122.79080,
37.97027,-122.79080,
37.97026,-122.79079,
37.97025,-122.79075,
37.97025,-122.79074,
37.97024,-122.79072,
37.97024,-122.79070,
37.97024,-122.79069,
37.97023,-122.79066,
37.97022,-122.79063,
37.97022,-122.79060,
37.97022,-122.79057,
37.97022,-122.79055,
37.97023,-122.79054,
37.97023,-122.79051,
37.97023,-122.79050,
37.97022,-122.79048,
37.97022,-122.79046,
37.97022,-122.79044,
37.97020,-122.79041,
37.97020,-122.79041,
37.97019,-122.79040,
37.97018,-122.79039,
37.97017,-122.79038,
37.97016,-122.79036,
37.97015,-122.79035,
37.97015,-122.79034,
37.97014,-122.79033,
37.97013,-122.79032,
37.97013,-122.79030,
37.97013,-122.79027,
37.97013,-122.79026,
37.97013,-122.79024,
37.97013,-122.79023,
37.97013,-122.79022,
37.97013,-122.79020,
37.97014,-122.79018,
37.97014,-122.79017,
37.97014,-122.79015,
37.97015,-122.79014,
37.97015,-122.79012,
37.97017,-122.79009,
37.97018,-122.79008,
37.97019,-122.79007,
37.97020,-122.79005,
37.97021,-122.79004,
37.97023,-122.79004,
37.97026,-122.79004,
37.97026,-122.79004,
37.97028,-122.79004,
37.97030,-122.79004,
37.97031,-122.79004,
37.97033,-122.79003,
37.97034,-122.79003,
37.97036,-122.79003,
37.97038,-122.79003,
37.97039,-122.79003,
37.97040,-122.79003,
37.97041,-122.79003,
37.97042,-122.79002,
37.97043,-122.79002,
37.97044,-122.79001,
37.97045,-122.79001,
37.97046,-122.79000,
37.97048,-122.79000,
37.97049,-122.78999,
37.97051,-122.78998,
37.97051,-122.78997,
37.97052,-122.78997,
37.97054,-122.78996,
37.97055,-122.78995,
37.97055,-122.78995,
37.97056,-122.78994,
37.97057,-122.78993,
37.97057,-122.78992,
37.97058,-122.78991,
37.97059,-122.78991,
37.97060,-122.78990,
37.97061,-122.78989,
37.97062,-122.78989,
37.97063,-122.78988,
37.97064,-122.78988,
37.97065,-122.78987,
37.97066,-122.78986,
37.97067,-122.78985,
37.97068,-122.78984,
37.97069,-122.78983,
37.97070,-122.78982,
37.97071,-122.78981,
37.97073,-122.78980,
37.97073,-122.78979,
37.97074,-122.78979,
37.97075,-122.78978,
37.97076,-122.78977,
37.97077,-122.78976,
37.97079,-122.78974,
37.97079,-122.78974,
37.97080,-122.78973,
37.97081,-122.78972,
37.97082,-122.78970,
37.97083,-122.78969,
37.97084,-122.78968,
37.97085,-122.78968,
37.97086,-122.78967,
37.97087,-122.78967,
37.97088,-122.78967,
37.97089,-122.78967,
37.97089,-122.78966,
37.97089,-122.78966,
37.97089,-122.78966,
37.97090,-122.78966,
37.97090,-122.78965,
37.97090,-122.78965,
37.97090,-122.78965,
37.97090,-122.78965,
37.97091,-122.78964,
37.97091,-122.78964,
37.97091,-122.78964,
37.97091,-122.78964,
37.97092,-122.78962,
37.97093,-122.78960,
37.97094,-122.78958,
37.97095,-122.78957,
37.97096,-122.78956,
37.97098,-122.78955,
37.97099,-122.78954,
37.97100,-122.78953,
37.97101,-122.78952,
37.97103,-122.78951,
37.97105,-122.78951,
37.97106,-122.78951,
37.97106,-122.78951,
37.97109,-122.78950,
37.97109,-122.78950,
37.97110,-122.78950,
37.97113,-122.78951,
37.97113,-122.78951,
37.97114,-122.78951,
37.97116,-122.78951,
37.97117,-122.78951,
37.97118,-122.78951,
37.97120,-122.78952,
37.97122,-122.78952,
37.97123,-122.78953,
37.97124,-122.78953,
37.97126,-122.78954,
37.97127,-122.78954,
37.97127,-122.78955,
37.97129,-122.78955,
37.97130,-122.78956,
37.97131,-122.78956,
37.97133,-122.78957,
37.97134,-122.78957,
37.97136,-122.78958,
37.97137,-122.78959,
37.97138,-122.78959,
37.97139,-122.78960,
37.97140,-122.78961,
37.97141,-122.78961,
37.97143,-122.78962,
37.97144,-122.78962,
37.97146,-122.78963,
37.97147,-122.78963,
37.97149,-122.78964,
37.97150,-122.78964,
