lat,lng,field
38.01674,-122.85352,
38.01673,-122.85352,
38.01673,-122.85354,
38.01673,-122.85356,
38.01672,-122.85357,
38.01672,-122.85357,
38.01673,-122.85356,
38.01675,-122.85356,
38.01676,-122.85356,
38.01676,-122.85355,
38.01676,-122.85355,
38.01676,-122.85354,
38.01676,-122.85354,
38.01675,-122.85354,
38.01675,-122.85354,
38.01675,-122.85355,
38.01675,-122.85355,
38.01675,-122.85355,
38.01675,-122.85355,
38.01675,-122.85355,
38.01675,-122.85355,
38.01674,-122.85355,
38.01674,-122.85355,
38.01674,-122.85355,
38.01678,-122.85359,
38.01679,-122.85360,
38.01680,-122.85361,
38.01682,-122.85361,
38.01683,-122.85361,
38.01684,-122.85361,
38.01684,-122.85362,
38.01687,-122.85363,
38.01689,-122.85363,
38.01691,-122.85364,
38.01692,-122.85364,
38.01694,-122.85365,
38.01696,-122.85365,
38.01698,-122.85366,
38.01699,-122.85366,
38.01700,-122.85366,
38.01701,-122.85367,
38.01702,-122.85367,
38.01704,-122.85365,
38.01705,-122.85365,
38.01706,-122.85364,
38.01707,-122.85363,
38.01709,-122.85362,
38.01710,-122.85362,
38.01711,-122.85361,
38.01714,-122.85361,
38.01715,-122.85360,
38.01716,-122.85360,
38.01717,-122.85360,
38.01718,-122.85359,
38.01719,-122.85359,
38.01721,-122.85358,
38.01723,-122.85357,
38.01724,-122.85356,
38.01724,-122.85355,
38.01725,-122.85354,
38.01726,-122.85353,
38.01726,-122.85352,
38.01727,-122.85350,
38.01727,-122.85348,
38.01728,-122.85346,
38.01729,-122.85345,
38.01729,-122.85343,
38.01730,-122.85341,
38.01730,-122.85340,
38.01731,-122.85338,
38.01732,-122.85336,
38.01733,-122.85335,
38.01734,-122.85333,
38.01735,-122.85332,
38.01736,-122.85331,
38.01737,-122.85329,
38.01738,-122.85328,
38.01738,-122.85327,
38.01739,-122.85326,
38.01740,-122.85325,
38.01741,-122.85322,
38.01742,-122.85321,
38.01743,-122.85320,
38.01743,-122.85319,
38.01744,-122.85317,
38.01745,-122.85316,
38.01746,-122.85314,
38.01747,-122.85313,
38.01748,-122.85311,
38.01749,-122.85310,
38.01750,-122.85308,
38.01751,-122.85307,
38.01752,-122.85306,
38.01753,-122.85304,
38.01754,-122.85303,
38.01754,-122.85301,
38.01755,-122.85299,
38.01756,-122.85298,
38.01757,-122.85297,
38.01758,-122.85295,
38.01759,-122.85294,
38.01759,-122.85292,
38.01760,-122.85290,
38.01761,-122.85289,
38.01761,-122.85288,
38.01762,-122.85286,
38.01762,-122.85285,
38.01763,-122.85284,
38.01764,-122.85281,
38.01764,-122.85280,
38.01764,-122.85279,
38.01765,-122.85278,
38.01765,-122.85277,
38.01766,-122.85276,
38.01767,-122.85275,
38.01768,-122.85274,
38.01769,-122.85272,
38.01770,-122.85271,
38.01770,-122.85270,
38.01771,-122.85269,
38.01772,-122.85268,
38.01772,-122.85266,
38.01772,-122.85265,
38.01773,-122.85263,
38.01773,-122.85262,
