lat,lng,field
38.03859,-122.79988,
38.03858,-122.79988,
38.03856,-122.79988,
38.03855,-122.79989,
38.03854,-122.79989,
38.03852,-122.79989,
38.03851,-122.79989,
38.03849,-122.79989,
38.03848,-122.79989,
38.03847,-122.79989,
38.03845,-122.79989,
38.03844,-122.79989,
38.03843,-122.79988,
38.03842,-122.79988,
38.03840,-122.79987,
38.03839,-122.79986,
38.03837,-122.79986,
38.03836,-122.79986,
38.03834,-122.79985,
38.03832,-122.79985,
38.03831,-122.79985,
38.03829,-122.79985,
38.03827,-122.79985,
38.03826,-122.79985,
38.03824,-122.79985,
38.03822,-122.79985,
38.03821,-122.79985,
38.03820,-122.79985,
38.03818,-122.79985,
38.03816,-122.79985,
38.03815,-122.79986,
38.03813,-122.79986,
38.03812,-122.79986,
38.03809,-122.79986,
38.03808,-122.79987,
38.03807,-122.79987,
38.03806,-122.79987,
38.03804,-122.79988,
38.03803,-122.79988,
38.03802,-122.79989,
38.03801,-122.79989,
38.03799,-122.79989,
38.03797,-122.79989,
38.03795,-122.79989,
38.03794,-122.79989,
38.03792,-122.79989,
38.03791,-122.79989,
38.03789,-122.79989,
38.03787,-122.79989,
38.03786,-122.79989,
38.03783,-122.79989,
38.03782,-122.79989,
38.03779,-122.79989,
38.03778,-122.79988,
38.03777,-122.79988,
38.03774,-122.79988,
38.03772,-122.79988,
38.03771,-122.79988,
38.03770,-122.79988,
38.03769,-122.79988,
38.03767,-122.79988,
38.03765,-122.79988,
38.03764,-122.79988,
38.03762,-122.79988,
38.03761,-122.79988,
38.03759,-122.79989,
38.03758,-122.79990,
38.03756,-122.79990,
38.03755,-122.79990,
38.03753,-122.79990,
38.03752,-122.79990,
38.03750,-122.79990,
38.03748,-122.79990,
38.03746,-122.79991,
38.03744,-122.79991,
38.03743,-122.79992,
38.03742,-122.79992,
38.03740,-122.79992,
38.03739,-122.79993,
38.03737,-122.79994,
38.03736,-122.79994,
38.03733,-122.79995,
38.03732,-122.79995,
38.03731,-122.79996,
38.03729,-122.79996,
38.03726,-122.79997,
38.03725,-122.79998,
38.03724,-122.79998,
38.03722,-122.79999,
38.03720,-122.79999,
38.03717,-122.80000,
38.03717,-122.80001,
38.03716,-122.80001,
38.03714,-122.80001,
38.03711,-122.80003,
38.03710,-122.80003,
38.03709,-122.80004,
38.03707,-122.80004,
38.03706,-122.80005,
38.03705,-122.80005,
38.03703,-122.80006,
38.03702,-122.80007,
38.03699,-122.80008,
38.03698,-122.80009,
38.03697,-122.80009,
38.03695,-122.80010,
38.03694,-122.80010,
38.03692,-122.80011,
38.03691,-122.80011,
38.03689,-122.80012,
38.03688,-122.80012,
38.03686,-122.80012,
38.03684,-122.80012,
38.03682,-122.80012,
38.03680,-122.80012,
38.03679,-122.80012,
38.03677,-122.80012,
38.03676,-122.80012,
38.03675,-122.80013,
38.03673,-122.80013,
38.03672,-122.80013,
38.03670,-122.80014,
38.03669,-122.80015,
38.03666,-122.80015,
38.03665,-122.80016,
38.03664,-122.80016,
38.03662,-122.80017,
38.03659,-122.80017,
38.03658,-122.80017,
38.03657,-122.80017,
38.03655,-122.80018,
38.03654,-122.80018,
38.03651,-122.80019,
38.03650,-122.80019,
38.03648,-122.80020,
38.03645,-122.80021,
38.03644,-122.80021,
38.03642,-122.80021,
38.03639,-122.80022,
38.03638,-122.80022,
38.03637,-122.80022,
38.03634,-122.80023,
38.03633,-122.80024,
38.03631,-122.80024,
38.03629,-122.80025,
38.03627,-122.80026,
38.03625,-122.80027,
38.03625,-122.80028,
38.03624,-122.80029,
38.03623,-122.80030,
38.03621,-122.80032,
38.03620,-122.80034,
38.03620,-122.80035,
38.03618,-122.80038,
38.03618,-122.80039,
38.03616,-122.80041,
38.03616,-122.80042,
38.03614,-122.80046,
38.03614,-122.80047,
38.03613,-122.80048,
38.03612,-122.80050,
38.03610,-122.80051,
38.03609,-122.80053,
38.03608,-122.80055,
38.03607,-122.80056,
38.03607,-122.80057,
38.03606,-122.80058,
38.03605,-122.80057,
38.03606,-122.80057,
38.03607,-122.80057,
38.03608,-122.80057,
38.03608,-122.80057,
38.03608,-122.80057,
38.03608,-122.80057,
38.03608,-122.80057,
38.03608,-122.80057,
38.03608,-122.80057,
38.03608,-122.80057,
38.03609,-122.80057,
38.03609,-122.80057,
38.03609,-122.80057,
38.03609,-122.80057,
38.03609,-122.80057,
38.03609,-122.80057,
38.03609,-122.80057,
38.03609,-122.80057,
38.03609,-122.80057,
38.03607,-122.80059,
38.03607,-122.80058,
38.03606,-122.80057,
38.03605,-122.80058,
38.03604,-122.80059,
38.03602,-122.80062,
38.03601,-122.80063,
38.03600,-122.80066,
38.03599,-122.80067,
38.03597,-122.80072,
38.03596,-122.80074,
38.03595,-122.80075,
38.03594,-122.80077,
38.03593,-122.80080,
38.03592,-122.80081,
38.03591,-122.80083,
38.03590,-122.80084,
38.03589,-122.80085,
38.03588,-122.80086,
38.03587,-122.80088,
38.03585,-122.80089,
38.03584,-122.80090,
38.03583,-122.80091,
38.03581,-122.80092,
38.03580,-122.80094,
38.03579,-122.80095,
