lat,lng,field
41.59382,-124.09873,
41.59382,-124.09872,
41.59383,-124.09873,
41.59382,-124.09873,
41.59381,-124.09873,
41.59381,-124.09873,
41.59381,-124.09874,
41.59381,-124.09876,
41.59380,-124.09876,
41.59379,-124.09877,
41.59379,-124.09877,
41.59379,-124.09877,
41.59378,-124.09877,
41.59378,-124.09878,
41.59378,-124.09878,
41.59379,-124.09878,
41.59380,-124.09877,
41.59381,-124.09876,
41.59382,-124.09874,
41.59382,-124.09873,
41.59382,-124.09872,
41.59382,-124.09871,
41.59383,-124.09871,
41.59383,-124.09871,
41.59383,-124.09871,
41.59383,-124.09871,
41.59383,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09871,
41.59384,-124.09870,
41.59384,-124.09870,
41.59384,-124.09870,
41.59384,-124.09869,
41.59383,-124.09869,
41.59383,-124.09868,
41.59383,-124.09868,
41.59383,-124.09868,
41.59383,-124.09868,
41.59383,-124.09868,
41.59383,-124.09868,
41.59383,-124.09868,
41.59383,-124.09868,
41.59382,-124.09868,
41.59382,-124.09868,
41.59382,-124.09868,
41.59381,-124.09869,
41.59381,-124.09871,
41.59381,-124.09871,
41.59380,-124.09872,
41.59380,-124.09871,
41.59380,-124.09871,
41.59458,-124.09980,
41.59458,-124.09979,
41.59458,-124.09979,
41.59459,-124.09979,
41.59459,-124.09978,
41.59459,-124.09978,
41.59459,-124.09978,
41.59459,-124.09978,
41.59459,-124.09979,
41.59459,-124.09979,
41.59459,-124.09979,
41.59459,-124.09979,
41.59460,-124.09979,
41.59460,-124.09979,
41.59460,-124.09979,
41.59460,-124.09979,
41.59460,-124.09979,
41.59460,-124.09980,
41.59460,-124.09980,
41.59460,-124.09980,
41.59460,-124.09980,
41.59460,-124.09981,
41.59460,-124.09981,
41.59460,-124.09981,
41.59460,-124.09981,
41.59460,-124.09981,
41.59460,-124.09981,
41.59460,-124.09981,
41.59461,-124.09981,
41.59462,-124.09980,
41.59462,-124.09980,
41.59462,-124.09979,
41.59462,-124.09978,
41.59461,-124.09977,
41.59461,-124.09977,
41.59462,-124.09976,
41.59462,-124.09976,
41.59463,-124.09976,
41.59463,-124.09976,
41.59463,-124.09976,
41.59463,-124.09976,
41.59463,-124.09976,
41.59463,-124.09975,
41.59463,-124.09975,
41.59463,-124.09975,
41.59463,-124.09975,
41.59463,-124.09975,
41.59463,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59462,-124.09974,
41.59463,-124.09974,
41.59463,-124.09976,
41.59463,-124.09978,
41.59464,-124.09980,
41.59464,-124.09981,
41.59464,-124.09983,
41.59464,-124.09984,
41.59465,-124.09985,
41.59466,-124.09986,
41.59466,-124.09987,
41.59468,-124.09991,
41.59469,-124.09993,
41.59471,-124.09996,
41.59472,-124.09997,
41.59473,-124.09999,
41.59474,-124.10001,
41.59475,-124.10003,
41.59476,-124.10005,
41.59476,-124.10006,
41.59477,-124.10008,
41.59478,-124.10010,
41.59479,-124.10011,
41.59479,-124.10013,
41.59480,-124.10015,
41.59481,-124.10016,
41.59481,-124.10018,
41.59481,-124.10020,
41.59482,-124.10022,
41.59482,-124.10023,
41.59483,-124.10024,
41.59484,-124.10027,
41.59485,-124.10027,
41.59485,-124.10028,
41.59486,-124.10029,
41.59486,-124.10031,
41.59487,-124.10033,
41.59487,-124.10035,
41.59488,-124.10037,
41.59488,-124.10039,
41.59489,-124.10041,
41.59490,-124.10043,
41.59491,-124.10045,
41.59492,-124.10047,
41.59493,-124.10049,
41.59494,-124.10050,
41.59497,-124.10053,
41.59499,-124.10055,
41.59500,-124.10057,
41.59501,-124.10058,
41.59503,-124.10062,
41.59504,-124.10063,
41.59504,-124.10064,
41.59505,-124.10066,
41.59506,-124.10068,
41.59507,-124.10071,
41.59508,-124.10072,
41.59509,-124.10075,
41.59509,-124.10077,
41.59509,-124.10079,
41.59510,-124.10081,
41.59510,-124.10083,
41.59510,-124.10085,
41.59510,-124.10087,
41.59510,-124.10089,
41.59510,-124.10091,
41.59509,-124.10094,
41.59509,-124.10096,
41.59508,-124.10097,
41.59507,-124.10100,
41.59506,-124.10101,
41.59505,-124.10103,
41.59504,-124.10106,
41.59504,-124.10107,
41.59504,-124.10108,
41.59502,-124.10112,
41.59501,-124.10115,
41.59501,-124.10116,
41.59500,-124.10117,
41.59500,-124.10119,
41.59499,-124.10121,
41.59498,-124.10123,
41.59497,-124.10124,
41.59496,-124.10126,
41.59494,-124.10128,
41.59492,-124.10130,
41.59491,-124.10131,
41.59490,-124.10133,
41.59489,-124.10135,
41.59488,-124.10137,
41.59487,-124.10138,
41.59486,-124.10141,
41.59485,-124.10142,
41.59484,-124.10146,
41.59484,-124.10147,
41.59483,-124.10148,
41.59481,-124.10150,
41.59479,-124.10152,
41.59479,-124.10153,
41.59477,-124.10155,
41.59477,-124.10156,
41.59475,-124.10159,
41.59474,-124.10161,
41.59472,-124.10164,
41.59471,-124.10166,
41.59470,-124.10167,
41.59470,-124.10169,
41.59469,-124.10171,
41.59469,-124.10174,
41.59468,-124.10176,
41.59468,-124.10178,
41.59467,-124.10180,
41.59466,-124.10183,
41.59467,-124.10184,
41.59468,-124.10184,
41.59468,-124.10185,
41.59468,-124.10184,
41.59468,-124.10184,
41.59468,-124.10184,
41.59468,-124.10184,
41.59467,-124.10185,
41.59466,-124.10185,
41.59465,-124.10186,
41.59464,-124.10187,
41.59462,-124.10188,
41.59460,-124.10190,
41.59459,-124.10190,
41.59456,-124.10193,
41.59456,-124.10193,
41.59454,-124.10196,
41.59453,-124.10197,
41.59451,-124.10200,
41.59450,-124.10200,
41.59448,-124.10202,
41.59447,-124.10203,
41.59447,-124.10204,
41.59445,-124.10206,
41.59444,-124.10208,
41.59443,-124.10209,
41.59440,-124.10212,
41.59439,-124.10213,
41.59438,-124.10213,
41.59438,-124.10214,
41.59436,-124.10216,
41.59436,-124.10217,
41.59435,-124.10218,
41.59434,-124.10219,
41.59433,-124.10221,
41.59432,-124.10222,
41.59431,-124.10223,
41.59430,-124.10224,
41.59430,-124.10225,
41.59429,-124.10226,
41.59429,-124.10228,
41.59428,-124.10230,
41.59428,-124.10231,
41.59428,-124.10233,
41.59429,-124.10235,
41.59430,-124.10237,
41.59430,-124.10238,
41.59430,-124.10239,
41.59431,-124.10242,
41.59431,-124.10243,
41.59432,-124.10244,
41.59432,-124.10246,
41.59433,-124.10248,
41.59434,-124.10249,
41.59435,-124.10249,
41.59435,-124.10249,
41.59436,-124.10249,
41.59437,-124.10249,
41.59439,-124.10250,
41.59440,-124.10251,
41.59443,-124.10253,
