lat,lng,field
47.51877,-123.23690,
47.51877,-123.23689,
47.51877,-123.23689,
47.51878,-123.23689,
47.51879,-123.23689,
47.51881,-123.23689,
47.51882,-123.23689,
47.51883,-123.23690,
47.51883,-123.23690,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51884,-123.23691,
47.51885,-123.23691,
47.51885,-123.23692,
47.51884,-123.23694,
47.51884,-123.23695,
47.51884,-123.23696,
47.51884,-123.23696,
47.51884,-123.23696,
47.51884,-123.23697,
47.51884,-123.23697,
47.51883,-123.23697,
47.51883,-123.23698,
47.51882,-123.23698,
47.51882,-123.23698,
47.51882,-123.23697,
47.51881,-123.23697,
47.51881,-123.23696,
47.51882,-123.23695,
47.51882,-123.23695,
47.51882,-123.23694,
47.51883,-123.23693,
47.51883,-123.23692,
47.51882,-123.23691,
47.51880,-123.23692,
47.51877,-123.23692,
47.51876,-123.23692,
47.51875,-123.23693,
47.51875,-123.23693,
47.51875,-123.23694,
47.51875,-123.23694,
47.51875,-123.23695,
47.51874,-123.23695,
47.51873,-123.23696,
47.51872,-123.23696,
47.51872,-123.23698,
47.51872,-123.23699,
47.51873,-123.23700,
47.51874,-123.23702,
47.51875,-123.23703,
47.51875,-123.23705,
47.51874,-123.23706,
47.51874,-123.23708,
47.51874,-123.23709,
47.51874,-123.23710,
47.51874,-123.23712,
47.51874,-123.23713,
47.51875,-123.23716,
47.51876,-123.23719,
47.51876,-123.23721,
47.51877,-123.23722,
47.51879,-123.23724,
47.51880,-123.23725,
47.51881,-123.23727,
47.51883,-123.23730,
47.51885,-123.23732,
47.51886,-123.23733,
47.51887,-123.23735,
47.51890,-123.23737,
47.51890,-123.23737,
47.51892,-123.23739,
47.51893,-123.23739,
47.51895,-123.23740,
47.51896,-123.23740,
47.51898,-123.23739,
47.51899,-123.23739,
47.51900,-123.23739,
47.51902,-123.23739,
47.51903,-123.23738,
47.51903,-123.23738,
47.51904,-123.23737,
47.51904,-123.23736,
47.51906,-123.23736,
47.51907,-123.23735,
47.51909,-123.23735,
47.51911,-123.23734,
47.51912,-123.23734,
47.51914,-123.23734,
47.51916,-123.23734,
47.51918,-123.23734,
