lat,lng,field
47.95600,-123.83714,
47.95599,-123.83712,
47.95598,-123.83710,
47.95597,-123.83709,
47.95596,-123.83706,
47.95596,-123.83705,
47.95595,-123.83702,
47.95594,-123.83701,
47.95594,-123.83699,
47.95593,-123.83696,
47.95592,-123.83694,
47.95592,-123.83693,
47.95591,-123.83690,
47.95591,-123.83689,
47.95590,-123.83689,
47.95589,-123.83690,
47.95590,-123.83692,
47.95590,-123.83693,
47.95590,-123.83694,
47.95590,-123.83694,
47.95589,-123.83695,
47.95589,-123.83696,
47.95588,-123.83696,
47.95587,-123.83696,
47.95587,-123.83695,
47.95586,-123.83694,
47.95585,-123.83692,
47.95583,-123.83689,
47.95582,-123.83688,
47.95580,-123.83684,
47.95580,-123.83683,
47.95578,-123.83679,
47.95578,-123.83678,
47.95576,-123.83674,
47.95576,-123.83672,
47.95575,-123.83670,
47.95574,-123.83668,
47.95573,-123.83664,
47.95573,-123.83662,
47.95572,-123.83659,
47.95571,-123.83657,
47.95571,-123.83655,
47.95570,-123.83653,
47.95569,-123.83651,
47.95569,-123.83648,
47.95568,-123.83647,
47.95567,-123.83644,
47.95567,-123.83642,
47.95566,-123.83640,
47.95564,-123.83637,
47.95564,-123.83636,
47.95563,-123.83634,
47.95562,-123.83633,
47.95562,-123.83631,
47.95560,-123.83626,
47.95560,-123.83625,
47.95559,-123.83624,
47.95559,-123.83622,
47.95558,-123.83619,
47.95558,-123.83617,
47.95558,-123.83615,
47.95558,-123.83612,
47.95558,-123.83609,
47.95558,-123.83606,
47.95558,-123.83604,
47.95558,-123.83602,
47.95557,-123.83599,
47.95557,-123.83596,
47.95557,-123.83594,
47.95556,-123.83592,
47.95556,-123.83589,
47.95555,-123.83587,
47.95555,-123.83585,
47.95554,-123.83583,
47.95554,-123.83581,
47.95553,-123.83579,
47.95553,-123.83578,
47.95551,-123.83574,
47.95551,-123.83573,
47.95550,-123.83571,
47.95548,-123.83569,
47.95547,-123.83568,
47.95546,-123.83567,
47.95544,-123.83565,
47.95544,-123.83564,
47.95542,-123.83563,
47.95541,-123.83561,
47.95540,-123.83560,
47.95540,-123.83558,
47.95540,-123.83555,
47.95540,-123.83552,
47.95540,-123.83551,
47.95540,-123.83549,
47.95540,-123.83547,
47.95539,-123.83545,
47.95539,-123.83544,
47.95538,-123.83542,
47.95534,-123.83540,
47.95531,-123.83539,
47.95530,-123.83539,
47.95529,-123.83538,
47.95527,-123.83538,
47.95526,-123.83538,
47.95524,-123.83538,
47.95522,-123.83537,
47.95520,-123.83537,
47.95519,-123.83536,
47.95518,-123.83536,
47.95516,-123.83535,
47.95514,-123.83534,
47.95513,-123.83533,
47.95512,-123.83533,
47.95511,-123.83532,
47.95510,-123.83531,
47.95509,-123.83529,
47.95508,-123.83527,
47.95507,-123.83526,
47.95506,-123.83524,
47.95504,-123.83523,
47.95503,-123.83521,
47.95502,-123.83520,
47.95501,-123.83518,
47.95501,-123.83516,
47.95501,-123.83513,
47.95501,-123.83508,
47.95501,-123.83507,
47.95501,-123.83504,
47.95502,-123.83502,
47.95503,-123.83498,
47.95503,-123.83497,
47.95504,-123.83495,
47.95504,-123.83492,
47.95504,-123.83489,
47.95504,-123.83487,
47.95504,-123.83484,
47.95504,-123.83483,
47.95504,-123.83482,
47.95503,-123.83480,
47.95502,-123.83479,
47.95502,-123.83477,
47.95501,-123.83477,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83476,
47.95501,-123.83477,
47.95500,-123.83477,
47.95500,-123.83477,
47.95500,-123.83478,
